"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"G3V7K3;A0A0G2K9I6;Q9JL97;P13635",2.60945651060253,10.203999937449,367.541553893556,6.41916865412701e-82,9.39338346387253e-80,"G3V7K3","Ceruloplasmin","Cp","tr|G3V7K3|G3V7K3_RAT Ceruloplasmin OS=Rattus norvegicus OX=10116 GN=Cp PE=1 SV=1;tr|A0A0G2K9I6|A0A0G2K9I6_RAT Ceruloplasmin OS=Rattus norvegicus OX=10116 GN=Cp PE=1 SV=1;tr|Q9JL97|Q9JL97_RAT GPI-anchored ceruloplasmin OS=Rattus norvegicus OX=10116 PE=2 SV=",120.66,1059,"1059;1084;1084;1059;1064;69",323.31,288710000,383440000,331370000,400010000,307610000,1658900000,1571700000,1413500000,1747900000,1083700000,6014800,7988200,6903500,8333500,6408500,34561000,32743000,29449000,36414000,22578000,365800000,398980000,432940000,450500000,440910000,2231400000,2325200000,2664500000,2816900000,2513900000,24,29,28,36,31,101,101,95,109,83
"A0A3Q9WS43;A0A0G2KB92;A0A1W2Q6Q2",2.54915074285785,6.76244685846345,352.444955086223,1.24371598205275e-78,1.67997328037279e-76,"A0A3Q9WS43",NA,NA,"tr|A0A3Q9WS43|A0A3Q9WS43_RAT Doublecortin-like kinase 1 OS=Rattus norvegicus OX=10116 GN=DCLK1 PE=2 SV=1;tr|A0A0G2KB92|A0A0G2KB92_RAT Serine/threonine-protein kinase DCLK1 OS=Rattus norvegicus OX=10116 GN=Dclk1 PE=1 SV=1;tr|A0A1W2Q6Q2|A0A1W2Q6Q2_RAT Serine",82.147,740,"740;729;739;421;433",61.255,27522000,27986000,29379000,24983000,23161000,174020000,211560000,215420000,166730000,123300000,834000,848050,890270,757070,701830,5273500,6411000,6528000,5052300,3736300,38024000,39190000,40201000,40530000,41391000,217830000,252860000,247010000,198780000,231080000,9,4,4,4,3,25,26,26,13,16
"Q5M7T7",-2.44854518086571,8.52818683951241,327.754294153999,2.9642175740347e-73,3.71797575714639e-71,"Q5M7T7",NA,"Pla2g7","tr|Q5M7T7|Q5M7T7_RAT Platelet-activating factor acetylhydrolase OS=Rattus norvegicus OX=10116 GN=Pla2g7 PE=2 SV=1",49.49,440,"440",323.31,1032400000,1185600000,838380000,831320000,677450000,62978000,57558000,25085000,61769000,45582000,49163000,56456000,39923000,39587000,32259000,2998900,2740900,1194500,2941400,2170600,1011600000,819170000,747070000,684500000,666500000,156400000,147390000,86608000,154300000,162200000,44,46,45,43,39,10,8,7,17,10
"F1M2P8;F1LS98;B5DFC4;P05696",-2.42545806899848,6.44651686224642,322.177901056409,4.85861162587682e-72,5.68781467669313e-70,"F1M2P8","Protein kinase C;Protein kinase C alpha type","Prkca","tr|F1M2P8|F1M2P8_RAT Protein kinase C OS=Rattus norvegicus OX=10116 GN=Prkca PE=1 SV=3;tr|F1LS98|F1LS98_RAT Protein kinase C OS=Rattus norvegicus OX=10116 GN=Prkca PE=1 SV=3;tr|B5DFC4|B5DFC4_RAT Protein kinase C OS=Rattus norvegicus OX=10116 GN=Prkca PE=2",72.77,636,"636;672;672;672;697",100.1,99174000,224060000,179270000,182910000,186780000,24710000,11522000,15974000,17614000,17592000,3005300,6789800,5432500,5542900,5660000,748800,349160,484060,533740,533090,110800000,182800000,200550000,189510000,240940000,45649000,23911000,34320000,35023000,30426000,11,23,22,19,19,5,2,4,5,5
"P11530;F5CC78;Q7TPH4;Q7TPH3;A0A0F7CRZ7;Q7TPH2;T2F9K4;Q05485",-2.42319499779594,6.43968685621837,321.6331465123,6.38512431301034e-72,7.00767393352885e-70,"P11530","Dystrophin","Dmd;DMD","sp|P11530|DMD_RAT Dystrophin OS=Rattus norvegicus OX=10116 GN=Dmd PE=1 SV=2;tr|F5CC78|F5CC78_RAT Dystrophin Dp71e OS=Rattus norvegicus OX=10116 GN=Dmd PE=2 SV=1;tr|Q7TPH4|Q7TPH4_RAT Dystrophin OS=Rattus norvegicus OX=10116 GN=Dmd PE=1 SV=2;tr|Q7TPH3|Q7TPH3",425.82,3677,"3677;600;604;622;503;507;340;340;93;36;957",77.109,183020000,271430000,169680000,169160000,163420000,12398000,30497000,9192800,14818000,7748400,973520,1443800,902540,899770,869250,65949,162220,48898,78818,41215,154430000,237370000,189380000,136180000,203520000,29144000,57048000,28129000,28976000,25852000,16,25,16,19,20,2,5,3,4,4
"O70509;D3ZGF1;F1LSA1;O08779;P26051-2;P26051",2.31000469852274,8.08086043510939,294.814644330199,4.44138175604135e-66,4.58768609624036e-64,"O70509","CD44 antigen","Cd44","tr|O70509|O70509_RAT CD44 antigen OS=Rattus norvegicus OX=10116 GN=Cd44 PE=1 SV=1;tr|D3ZGF1|D3ZGF1_RAT CD44 antigen OS=Rattus norvegicus OX=10116 GN=Cd44 PE=1 SV=3;tr|F1LSA1|F1LSA1_RAT CD44 antigen OS=Rattus norvegicus OX=10116 GN=Cd44 PE=1 SV=1;tr|O08779|",39.725,364,"364;478;779;780;364;503;514",91.265,87106000,103220000,77442000,104930000,42918000,404170000,356700000,304840000,385930000,250980000,6700400,7940300,5957100,8071500,3301400,31090000,27439000,23450000,29687000,19306000,104690000,126540000,119360000,125890000,95303000,582720000,527770000,586310000,598460000,495560000,6,6,3,6,3,18,16,17,19,20
"Q63356;A0A0G2K9E8",2.19915675326132,6.17742249984597,269.394409256862,1.53778511895649e-60,1.50019481604866e-58,"Q63356","Unconventional myosin-Ie","Myo1e","sp|Q63356|MYO1E_RAT Unconventional myosin-Ie OS=Rattus norvegicus OX=10116 GN=Myo1e PE=1 SV=1;tr|A0A0G2K9E8|A0A0G2K9E8_RAT Unconventional myosin-Ie OS=Rattus norvegicus OX=10116 GN=Myo1e PE=1 SV=1",126.83,1107,"1107;998;1098",50.069,9656800,20163000,26693000,24191000,30772000,109670000,82119000,66861000,123860000,49843000,166500,347630,460220,417080,530550,1890900,1415800,1152800,2135500,859370,14773000,25422000,39233000,34901000,48348000,147980000,119700000,134960000,196850000,136980000,4,4,3,5,5,16,15,15,22,15
"Q4V8F9",-2.01145102088301,6.85254144243835,228.373757741906,1.34897611972216e-51,1.24673792959585e-49,"Q4V8F9","Hydroxysteroid dehydrogenase-like protein 2","Hsdl2","sp|Q4V8F9|HSDL2_RAT Hydroxysteroid dehydrogenase-like protein 2 OS=Rattus norvegicus OX=10116 GN=Hsdl2 PE=2 SV=1",58.343,524,"524",55.855,243220000,313950000,229650000,220240000,171100000,32564000,19381000,35800000,25622000,11276000,7600500,9811000,7176500,6882600,5346900,1017600,605650,1118800,800670,352380,234220000,278320000,221900000,198310000,232790000,73713000,42533000,82862000,51788000,33683000,22,22,20,24,17,4,3,10,5,3
"A0A140TAE0",1.93776336360542,9.35175614553308,213.004623791432,3.03643281743235e-48,2.6659880137056e-46,"A0A140TAE0",NA,NA,"tr|A0A140TAE0|A0A140TAE0_RAT Major vault protein OS=Rattus norvegicus OX=10116 GN=Mvp PE=1 SV=1",96.823,871,"871",271.81,142760000,264380000,210920000,250620000,144910000,947470000,898910000,505340000,862150000,660870000,3172500,5875200,4687100,5569400,3220300,21055000,19976000,11230000,19159000,14686000,274280000,348220000,340370000,393490000,344770000,1112100000,1185200000,1229600000,1492500000,1395600000,13,20,22,23,24,47,47,42,52,67
"F1LNK0;F1MAQ5;A0A0U1RRX4;P15146;Q64715;P15146-2",-1.91270327380962,6.74498189234463,207.875887105157,3.99298801391276e-47,3.33889854877658e-45,"F1LNK0","Microtubule-associated protein;Microtubule-associated protein 2","Map2","tr|F1LNK0|F1LNK0_RAT Microtubule-associated protein OS=Rattus norvegicus OX=10116 GN=Map2 PE=1 SV=3;tr|F1MAQ5|F1MAQ5_RAT Microtubule-associated protein OS=Rattus norvegicus OX=10116 GN=Map2 PE=1 SV=3;tr|A0A0U1RRX4|A0A0U1RRX4_RAT Microtubule-associated prot",210.71,1942,"1942;1825;1829;1861;1825;1830;498;498;467;336;143",122.38,136100000,313620000,202370000,247510000,154870000,45605000,36536000,29983000,35469000,21841000,1495700,3446300,2223900,2719900,1701900,501150,401490,329490,389770,240010,160880000,238510000,201860000,249670000,215060000,73404000,55376000,55250000,49952000,44620000,10,23,14,22,21,6,8,5,4,3
"P07150",1.781232555647,11.3096690515321,181.811736625227,1.94919553017627e-41,1.55581243226797e-39,"P07150","Annexin A1","Anxa1","sp|P07150|ANXA1_RAT Annexin A1 OS=Rattus norvegicus OX=10116 GN=Anxa1 PE=1 SV=2",38.829,346,"346",323.31,1812800000,1448200000,1724800000,1192200000,1.32e+09,4741900000,5495700000,2863300000,2969900000,2014200000,82400000,65826000,78399000,54192000,59999000,215540000,249800000,130150000,134990000,91556000,1515600000,1212300000,1519900000,1282300000,1668600000,4.953e+09,6.047e+09,4381500000,4506500000,4459900000,72,58,68,56,63,152,194,115,166,99
"Q6GMN6;P11466;A0A0G2JZK8",-1.69374632591551,6.07800923042691,165.276332366066,7.96060513139912e-38,6.07774896118994e-36,"Q6GMN6","Peroxisomal carnitine O-octanoyltransferase","Crot","tr|Q6GMN6|Q6GMN6_RAT Carnitine O-octanoyltransferase OS=Rattus norvegicus OX=10116 GN=Crot PE=1 SV=1;sp|P11466|OCTC_RAT Peroxisomal carnitine O-octanoyltransferase OS=Rattus norvegicus OX=10116 GN=Crot PE=1 SV=3;tr|A0A0G2JZK8|A0A0G2JZK8_RAT Peroxisomal car",70.288,612,"612;612;487",47.523,134470000,212680000,113760000,73601000,100620000,33713000,25460000,25823000,12820000,13338000,4074800,6444800,3447200,2230300,3049100,1021600,771510,782520,388500,404190,141090000,195360000,110230000,68867000,134380000,66211000,39027000,33586000,24268000,33930000,11,20,11,10,12,6,6,6,3,4
"Q7TMC7;A0A0G2QC06;Q7TP24",1.67192994235486,11.0960897429851,161.256800259914,6.01255587240604e-37,4.39918671331042e-35,"Q7TMC7",NA,"Tf;Srprb","tr|Q7TMC7|Q7TMC7_RAT Ab2-417 OS=Rattus norvegicus OX=10116 PE=2 SV=1;tr|A0A0G2QC06|A0A0G2QC06_RAT Serotransferrin OS=Rattus norvegicus OX=10116 GN=Tf PE=1 SV=1;tr|Q7TP24|Q7TP24_RAT Ba1-667 OS=Rattus norvegicus OX=10116 PE=2 SV=1",107.41,979,"979;979;980;269",323.31,1267500000,1413900000,665110000,1508800000,843230000,3324300000,2228100000,2717500000,2725600000,1792400000,22634000,25248000,11877000,26943000,15058000,59363000,39787000,48527000,48672000,32007000,1355400000,1344100000,965050000,1610700000,1302100000,5322800000,3742600000,4.086e+09,3259600000,4181200000,29,27,20,27,25,123,109,109,111,116
"Q07936;Q07936-2",1.66298790344414,10.155701454706,159.621394449663,1.36889356781776e-36,9.61510842035196e-35,"Q07936","Annexin A2","Anxa2","sp|Q07936|ANXA2_RAT Annexin A2 OS=Rattus norvegicus OX=10116 GN=Anxa2 PE=1 SV=2;sp|Q07936-2|ANXA2_RAT Isoform Long of Annexin A2 OS=Rattus norvegicus OX=10116 GN=Anxa2",38.678,339,"339;341",323.31,902140000,792710000,841720000,662990000,709560000,1900100000,1863400000,1472900000,1.497e+09,766930000,39223000,34466000,36597000,28825000,30850000,82613000,81019000,64037000,65089000,33345000,679690000,598860000,739680000,648050000,778420000,2211100000,2467500000,2121800000,1998300000,1936300000,47,46,51,48,52,83,83,81,73,52
"A0A140TA89;P50442",-1.65537064824919,9.39112852893549,158.233871919167,2.75130700770892e-36,1.85819042520649e-34,"A0A140TA89","Glycine amidinotransferase, mitochondrial","Gatm","tr|A0A140TA89|A0A140TA89_RAT Glycine amidinotransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Gatm PE=1 SV=1;sp|P50442|GATM_RAT Glycine amidinotransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Gatm PE=1 SV=1",52.143,462,"462;423",323.31,1.996e+09,2139200000,1782100000,1365900000,1307200000,210790000,221660000,243300000,159780000,103610000,68828000,73765000,61451000,47099000,45075000,7268800,7643400,8389600,5509800,3572900,1206600000,1344200000,1261700000,1261700000,1338700000,403470000,388390000,463930000,372020000,375140000,89,92,78,79,67,29,23,30,20,21
"Q5M9H4;P13638",-1.63290851187814,8.44597883688946,154.172394097942,2.12350889316986e-35,1.38106726533566e-33,"Q5M9H4","Sodium/potassium-transporting ATPase subunit beta-2","Atp1b2","tr|Q5M9H4|Q5M9H4_RAT Sodium/potassium-transporting ATPase subunit beta OS=Rattus norvegicus OX=10116 GN=Atp1b2 PE=1 SV=1;sp|P13638|AT1B2_RAT Sodium/potassium-transporting ATPase subunit beta-2 OS=Rattus norvegicus OX=10116 GN=Atp1b2 PE=1 SV=1",33.398,290,"290;290",186.94,736980000,936680000,729800000,499960000,444310000,171930000,125500000,92559000,128150000,81909000,56691000,72053000,56139000,38459000,34178000,13226000,9653600,7119900,9857400,6300700,722470000,804030000,708060000,470160000,615990000,250430000,201090000,185770000,215750000,199200000,20,32,27,17,25,15,12,10,14,13
"Q8R490;F1M7X3",1.58109687522688,5.60375631555207,144.977213605774,2.17241417079725e-33,1.36241402997142e-31,"Q8R490",NA,"Cdh13","tr|Q8R490|Q8R490_RAT Cadherin 13 OS=Rattus norvegicus OX=10116 GN=Cdh13 PE=1 SV=1;tr|F1M7X3|F1M7X3_RAT Cadherin 13 OS=Rattus norvegicus OX=10116 GN=Cdh13 PE=1 SV=3",78.085,714,"714;609",42.686,23534000,26976000,23098000,19233000,12860000,60216000,56641000,55723000,51132000,42054000,759170,870180,745090,620430,414830,1942400,1827100,1797500,1649400,1356600,31268000,32554000,34688000,29838000,24996000,80940000,81164000,102010000,93190000,93886000,3,2,2,2,2,5,6,7,7,5
"B4F7F3",-1.4801261888123,6.04953521230654,127.76638907306,1.26263500331674e-29,7.6454726407731e-28,"B4F7F3",NA,"Arvcf","tr|B4F7F3|B4F7F3_RAT ARVCF, delta catenin family member OS=Rattus norvegicus OX=10116 GN=Arvcf PE=1 SV=1",105.49,973,"973",82.244,92966000,134680000,120210000,159960000,99482000,9895300,15050000,19050000,27337000,16476000,1936800,2805900,2504400,3332400,2072500,206150,313550,396870,569510,343260,89115000,112150000,121680000,156680000,133440000,23298000,30233000,50354000,56369000,56138000,9,13,13,19,14,3,3,4,5,5
"P53987",1.46899770308367,6.68237059809341,125.927864094485,3.18865891882676e-29,1.86642835381993e-27,"P53987","Monocarboxylate transporter 1","Slc16a1","sp|P53987|MOT1_RAT Monocarboxylate transporter 1 OS=Rattus norvegicus OX=10116 GN=Slc16a1 PE=1 SV=1",53.238,494,"494",39.203,55650000,68255000,50832000,71861000,28233000,56355000,191720000,96562000,151420000,84856000,3710000,4550300,3388800,4790700,1882200,3757000,12781000,6437500,10095000,5657100,62508000,63201000,71794000,79866000,65504000,143070000,208040000,183850000,199040000,200400000,4,2,5,4,4,10,13,12,10,11
"P52631",1.45139383625413,9.42114870587561,123.043579180105,1.36419434121992e-28,7.48601644744432e-27,"P52631","Signal transducer and activator of transcription 3","Stat3","sp|P52631|STAT3_RAT Signal transducer and activator of transcription 3 OS=Rattus norvegicus OX=10116 GN=Stat3 PE=1 SV=1",88.039,770,"770",323.31,339620000,544180000,337660000,376160000,255850000,825970000,788970000,766290000,853030000,482160000,8708200,13953000,8657900,9645100,6560200,21179000,20230000,19648000,21872000,12363000,413400000,483820000,474600000,488050000,449770000,1.127e+09,1.138e+09,1302300000,1452800000,1198900000,26,34,30,28,24,49,51,49,54,45
"Q6P7A4;P10960;F7EPE0",-1.45139805974616,7.41825360636714,123.044244724636,1.36373682012246e-28,7.48601644744432e-27,"Q6P7A4","Sulfated glycoprotein 1","Psap","tr|Q6P7A4|Q6P7A4_RAT Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=2 SV=1;sp|P10960|SAP_RAT Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=1 SV=1;tr|F7EPE0|F7EPE0_RAT Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=1 SV=2",61.039,553,"553;554;557",118.91,737690000,391020000,394160000,367560000,328640000,85468000,53188000,50026000,30901000,81867000,24590000,13034000,13139000,12252000,10955000,2848900,1772900,1667500,1030000,2728900,390290000,216730000,414150000,310500000,245230000,117300000,119180000,112860000,104220000,113190000,30,22,28,18,23,11,9,7,8,13
"Q6P766;O08564;G3V9Y2;O08564-2",1.44918590676312,5.71345673208154,122.683817693645,1.63539754745832e-28,8.70229725253581e-27,"Q6P766","Lipid phosphate phosphohydrolase 1","Ppap2a","tr|Q6P766|Q6P766_RAT Lipid phosphate phosphohydrolase 1 OS=Rattus norvegicus OX=10116 GN=Plpp1 PE=2 SV=1;sp|O08564|PLPP1_RAT Phospholipid phosphatase 1 OS=Rattus norvegicus OX=10116 GN=Plpp1 PE=1 SV=1;tr|G3V9Y2|G3V9Y2_RAT Phosphatidic acid phosphatase 2a,",32,282,"282;282;283;283",11.37,27394000,39062000,26037000,20355000,32431000,96758000,77431000,55755000,100960000,42651000,3043700,4340300,2893000,2261700,3603400,10751000,8603400,6195000,11218000,4739000,32066000,37652000,29206000,33600000,44410000,99462000,93788000,91624000,98673000,91906000,4,4,4,3,6,9,7,6,12,5
"Q6P7A9",-1.43446066742782,7.4015458330464,120.297014763797,5.44640233777621e-28,2.81290661915736e-26,"Q6P7A9","Lysosomal alpha-glucosidase","Gaa","sp|Q6P7A9|LYAG_RAT Lysosomal alpha-glucosidase OS=Rattus norvegicus OX=10116 GN=Gaa PE=2 SV=1",106.21,953,"953",230.69,324880000,446910000,377340000,260640000,288860000,70160000,44180000,26434000,84348000,20679000,9282400,12769000,10781000,7446800,8253100,2004600,1262300,755270,2410000,590820,264330000,361220000,345550000,265020000,317160000,138800000,126120000,73277000,130900000,96457000,19,25,24,23,22,9,7,6,11,7
