"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein IDs","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Intensity","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"P12843;Q6LDG0",-1.08921541875469,13.5403802960153,0.739652766244533,0.389772132168039,0.998146781420804,"P12843;Q6LDG0;Q6LDF9","Insulin-like growth factor-binding protein 2","Igfbp2","sp|P12843|IBP2_RAT Insulin-like growth factor-binding protein 2 OS=Rattus norvegicus OX=10116 GN=Igfbp2 PE=1 SV=3;tr|Q6LDG0|Q6LDG0_RAT Insulin-like growth factor binding protein 2 (Fragment) OS=Rattus norvegicus OX=10116 PE=4 SV=1",32.854,4368400000,611180000,915190000,437160000,454570000,417380000,165760000,160020000,356190000,372490000,478430000,40745000,61013000,29144000,30305000,27826000,11051000,10668000,23746000,24833000,31895000,532580000,577440000,587740000,531180000,485740000,292030000,409610000,234950000,267090000,316560000,21,23,17,20,22,14,11,17,27,23
"P14841",-1.16484037467627,15.9307286682475,0.843198147299929,0.358483698159645,0.998146781420804,"P14841","Cystatin-C","Cst3","sp|P14841|CYTC_RAT Cystatin-C OS=Rattus norvegicus OX=10116 GN=Cst3 PE=1 SV=2",15.437,2.8066e+10,3033900000,7.876e+09,2.637e+09,2907800000,2631200000,1643100000,2102900000,1637700000,1648700000,1947800000,379230000,984500000,329620000,363470000,328900000,205390000,262860000,204720000,206090000,243470000,2257300000,3.886e+09,3.106e+09,2450600000,2780800000,1665600000,2067600000,1171700000,1281100000,1471700000,60,52,65,60,60,42,54,35,40,37
"P15087;Q5U322;D4A8X4",-0.625233874969374,12.6947157041997,0.247496997653705,0.618843058757309,0.998146781420804,"P15087;Q5U322;D4A8X4","Carboxypeptidase E","Cpe","sp|P15087|CBPE_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=1 SV=1;tr|Q5U322|Q5U322_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=2 SV=1;tr|D4A8X4|D4A8X4_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=1 SV",53.308,2546100000,237100000,394670000,134770000,231970000,124110000,16162000,179260000,363450000,474210000,390440000,9879300,16445000,5615300,9665300,5171100,673430,7469200,15144000,19759000,16269000,245450000,297820000,274790000,293020000,243120000,0,278050000,257540000,261060000,270990000,17,17,13,21,10,6,15,24,25,27
"P16975",0.34707020707449,14.194760873806,0.0766734162981006,0.781857161173329,0.998146781420804,"P16975","SPARC","Sparc","sp|P16975|SPRC_RAT SPARC OS=Rattus norvegicus OX=10116 GN=Sparc PE=1 SV=4",34.296,7937600000,513550000,1061100000,273580000,653350000,329290000,709100000,788600000,1238400000,1004500000,1366200000,39504000,81620000,21044000,50257000,25330000,54546000,60662000,95262000,77273000,105090000,518860000,658340000,516420000,609250000,485490000,752230000,850490000,880850000,810100000,921260000,35,29,26,48,31,58,47,44,46,45
"P20059",-0.322903539387187,14.8169657584477,0.0663889543696261,0.796668901774055,0.998146781420804,"P20059","Hemopexin","Hpx","sp|P20059|HEMO_RAT Hemopexin OS=Rattus norvegicus OX=10116 GN=Hpx PE=1 SV=3",51.35,1.3427e+10,1616100000,2397500000,1247400000,1.469e+09,895270000,1325100000,726220000,1354300000,1146900000,1249500000,64642000,95900000,49897000,58762000,35811000,53006000,29049000,54171000,45875000,49981000,970580000,1156500000,1098100000,1105200000,1.052e+09,1067100000,949800000,1074200000,942400000,1100900000,54,16,51,48,46,36,38,24,31,29
"P30009;F1LMW7",-0.0594119129676468,10.5495871023381,0.00225202861423668,0.962150161491283,0.998146781420804,"P30009;F1LMW7","Myristoylated alanine-rich C-kinase substrate","Marcks","sp|P30009|MARCS_RAT Myristoylated alanine-rich C-kinase substrate OS=Rattus norvegicus OX=10116 GN=Marcks PE=1 SV=2;tr|F1LMW7|F1LMW7_RAT Myristoylated alanine-rich C-kinase substrate OS=Rattus norvegicus OX=10116 GN=Marcks PE=1 SV=3",29.794,675800000,57534000,98188000,11134000,26700000,28141000,10297000,27274000,154740000,131550000,130240000,4109600,7013400,795280,1907100,2010100,735470,1948100,11053000,9396200,9303200,70030000,62778000,24568000,47487000,52994000,0,0,111340000,100930000,94476000,8,11,4,5,5,3,5,17,16,14
"P30120;Q91ZP7",0.67251253935532,12.2860781372858,0.285997314672193,0.592797037514297,0.998146781420804,"P30120;Q91ZP7","Metalloproteinase inhibitor 1","Timp1","sp|P30120|TIMP1_RAT Metalloproteinase inhibitor 1 OS=Rattus norvegicus OX=10116 GN=Timp1 PE=1 SV=2;tr|Q91ZP7|Q91ZP7_RAT Tissue inhibitor of metalloproteinase 1 (Fragment) OS=Rattus norvegicus OX=10116 PE=2 SV=1",23.793,2079200000,73999000,197450000,91011000,86105000,118890000,155970000,211900000,394500000,417670000,331660000,6727200,17950000,8273800,7827700,10808000,14179000,19264000,35864000,37970000,30150000,100550000,144760000,149530000,127520000,122730000,248940000,249840000,233280000,245450000,250510000,10,13,12,11,13,22,27,24,26,18
"P62260",0.482447564298778,10.3639268600622,0.147822894438789,0.700624620813327,0.998146781420804,"P62260","14-3-3 protein epsilon","Ywhae","sp|P62260|1433E_RAT 14-3-3 protein epsilon OS=Rattus norvegicus OX=10116 GN=Ywhae PE=1 SV=1",29.174,589570000,38897000,97032000,6460800,18247000,20917000,25228000,9431200,112290000,125050000,136020000,2288000,5707800,380050,1073300,1230400,1484000,554780,6605000,7355800,8001200,43605000,56748000,0,37960000,49289000,46857000,0,83171000,93407000,91939000,6,9,3,4,3,5,2,7,12,8
"P62804",0.85005179272888,12.039796394511,0.454528437651447,0.500192279470956,0.998146781420804,"P62804;Q5BM22;P62804-2","Histone H4;Osteogenic growth peptide","Hist1h4b","sp|P62804|H4_RAT Histone H4 OS=Rattus norvegicus OX=10116 GN=H4c2 PE=1 SV=2",11.367,1916400000,42981000,259480000,19011000,40366000,54493000,90318000,39208000,386130000,495840000,488550000,7163400,43246000,3168400,6727700,9082100,15053000,6534700,64356000,82640000,81424000,76559000,90340000,0,137350000,204080000,211250000,0,198740000,374530000,324660000,5,4,1,3,6,8,4,10,11,12
"P63090",-1.11335298608642,11.611193210164,0.7720177369955,0.379593572152671,0.998146781420804,"P63090","Pleiotrophin","Ptn","sp|P63090|PTN_RAT Pleiotrophin OS=Rattus norvegicus OX=10116 GN=Ptn PE=1 SV=1",18.869,1.095e+09,153010000,215170000,106670000,122910000,117870000,62318000,33991000,69051000,107950000,106030000,25501000,35862000,17778000,20486000,19645000,10386000,5665200,11509000,17991000,17671000,117380000,159740000,166190000,138990000,134020000,84383000,85372000,54522000,90262000,80960000,8,5,13,10,11,9,5,6,9,6
"P63259",0.137736229426391,14.8906452086891,0.0121000219276512,0.912409295869018,0.998146781420804,"P63259","Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed","Actg1","sp|P63259|ACTG_RAT Actin, cytoplasmic 2 OS=Rattus norvegicus OX=10116 GN=Actg1 PE=1 SV=1",41.792,1.2463e+10,1127300000,2259900000,601620000,637190000,661880000,996940000,1124100000,1858400000,1627100000,1568600000,56364000,112990000,30081000,31860000,33094000,49847000,56206000,92920000,81357000,78430000,1054900000,1012700000,953450000,912630000,906040000,1274700000,1235800000,1300400000,1285200000,1274300000,45,37,43,40,40,62,60,58,49,60
"Q5BJ93;M0R5J4;P04764;Q5EB49",0.379395138714678,10.8097908760464,0.0915779011541538,0.762180683958921,0.998146781420804,"Q5BJ93;M0R5J4;P04764;Q5EB49;P15429;P07323;F1M9V3","Alpha-enolase","Eno1","tr|Q5BJ93|Q5BJ93_RAT Enolase 1, (Alpha) OS=Rattus norvegicus OX=10116 GN=Eno1 PE=2 SV=2;tr|M0R5J4|M0R5J4_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=3 SV=1;sp|P04764|ENOA_RAT Alpha-enolase OS=Rattus norvegicus OX=10116 GN=Eno1 PE=1 SV=4;tr",47.127,762120000,45947000,164060000,17681000,32249000,19658000,39373000,26117000,142440000,127650000,146950000,2088500,7457100,803700,1465900,893540,1789700,1187200,6474600,5802400,6679400,58751000,80211000,36019000,54667000,36428000,59614000,49959000,92405000,92257000,118930000,9,11,7,6,4,9,8,18,14,19
"Q5M7T7",-0.977833339716205,12.7611223289945,0.598744557003558,0.439057435753137,0.998146781420804,"Q5M7T7",NA,"Pla2g7","tr|Q5M7T7|Q5M7T7_RAT Platelet-activating factor acetylhydrolase OS=Rattus norvegicus OX=10116 GN=Pla2g7 PE=2 SV=1",49.49,2740900000,399420000,641240000,158550000,206760000,187810000,79038000,75272000,329610000,315160000,348080000,19020000,30535000,7550000,9845700,8943100,3763700,3584400,15696000,15008000,16575000,331230000,344730000,300740000,310490000,260690000,119170000,163240000,225150000,211910000,228100000,28,19,14,24,13,11,12,22,25,27
"Q62656-3;Q62656;F1LMY3;Q62656-2",-0.385932898664117,13.6797732732849,0.0947518162849866,0.758220953759548,0.998146781420804,"Q62656-3;Q62656;F1LMY3;Q62656-2","Receptor-type tyrosine-protein phosphatase zeta;Protein-tyrosine-phosphatase","Ptprz1","sp|Q62656-3|PTPRZ_RAT Isoform 3 of Receptor-type tyrosine-protein phosphatase zeta OS=Rattus norvegicus OX=10116 GN=Ptprz1;sp|Q62656|PTPRZ_RAT Receptor-type tyrosine-protein phosphatase zeta OS=Rattus norvegicus OX=10116 GN=Ptprz1 PE=1 SV=1;tr|F1LMY3|F1LMY",175.84,5185300000,632890000,869120000,261130000,526330000,431430000,350120000,241320000,639430000,629290000,604240000,11720000,16095000,4835800,9746900,7989500,6483700,4469000,11841000,11653000,11190000,510460000,515860000,461270000,494690000,508510000,455100000,452210000,423080000,471160000,477690000,30,27,36,31,30,25,17,31,37,30
"Q65ZS7;A0A0G2K151;P02650;Q6PAH0",-0.631171288135358,16.0343671107743,0.252182889133865,0.615542214980097,0.998146781420804,"Q65ZS7;A0A0G2K151;P02650;Q6PAH0","Apolipoprotein E","Apoe","tr|Q65ZS7|Q65ZS7_RAT Rat apolipoprotein E protein OS=Rattus norvegicus OX=10116 PE=3 SV=1;tr|A0A0G2K151|A0A0G2K151_RAT Apolipoprotein E OS=Rattus norvegicus OX=10116 GN=Apoe PE=1 SV=1;sp|P02650|APOE_RAT Apolipoprotein E OS=Rattus norvegicus OX=10116 GN=Apo",38.325,2.8116e+10,3487800000,6736700000,2184400000,2387200000,1825700000,2104200000,1741800000,2512900000,2544700000,2590300000,217990000,421040000,136520000,149200000,114100000,131510000,108860000,157060000,159040000,161890000,2850300000,3327900000,2443400000,2533500000,2547600000,2110800000,2287400000,1971200000,2039600000,2118500000,84,60,77,82,68,90,56,53,63,53
"Q6P7A4;P10960;F7EPE0",2.19749710884181,11.7386773668593,2.82251764905196,0.0929505033995383,0.998146781420804,"Q6P7A4;P10960;F7EPE0","Sulfated glycoprotein 1","Psap","tr|Q6P7A4|Q6P7A4_RAT Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=2 SV=1;sp|P10960|SAP_RAT Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=1 SV=1;tr|F7EPE0|F7EPE0_RAT Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=1 SV=2",61.039,1463400000,26625000,159210000,2799800,2483100,13682000,141990000,129470000,398770000,287550000,300800000,887490,5307100,93325,82770,456060,4732900,4315800,13292000,9585200,10027000,52033000,121410000,0,0,35117000,179040000,178730000,277960000,241120000,255770000,3,12,1,2,2,13,14,25,19,20
"Q6P7A8;G3V7X5;P24054",0.0801765245193849,12.623690481233,0.00410103257849564,0.948938930197112,0.998146781420804,"Q6P7A8;G3V7X5;P24054","SPARC-like protein 1","Sparcl1","tr|Q6P7A8|Q6P7A8_RAT SPARC-like 1 (Hevin) OS=Rattus norvegicus OX=10116 GN=Sparcl1 PE=2 SV=1;tr|G3V7X5|G3V7X5_RAT SPARC-like 1 (Mast9, hevin), isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Sparcl1 PE=1 SV=1;sp|P24054|SPRL1_RAT SPARC-like protein 1 OS=Ratt",70.611,2617600000,255060000,492960000,79744000,190100000,78886000,72837000,178420000,375680000,410080000,483850000,7085000,13693000,2215100,5280600,2191300,2023200,4956000,10435000,11391000,13440000,252400000,241830000,129210000,276980000,149150000,140560000,219550000,308750000,300950000,350510000,27,24,21,19,18,19,17,32,35,37
"Q6P7S6;G3V836;P05371",1.91487695929579,14.017670544079,2.18564560682178,0.139302641073263,0.998146781420804,"Q6P7S6;G3V836;P05371;O35510;A0A0G2KB42;Q9ERD1","Clusterin;Clusterin;Clusterin beta chain;Clusterin alpha chain","Clu","tr|Q6P7S6|Q6P7S6_RAT Clusterin OS=Rattus norvegicus OX=10116 GN=Clu PE=2 SV=1;tr|G3V836|G3V836_RAT Clusterin OS=Rattus norvegicus OX=10116 GN=Clu PE=1 SV=1;sp|P05371|CLUS_RAT Clusterin OS=Rattus norvegicus OX=10116 GN=Clu PE=1 SV=2",51.464,6983600000,218890000,307150000,107380000,129320000,123870000,909300000,884170000,1508500000,1398800000,1396300000,11521000,16166000,5651600,6806300,6519400,47858000,46535000,79394000,73620000,73488000,281260000,219360000,234200000,210020000,214240000,953480000,971290000,1102100000,1122500000,1118400000,17,14,13,11,9,53,61,36,53,47
"Q7TP46;F8WG88;Q62632",1.16231168763557,11.2292880705228,0.839634562768991,0.35950130695886,0.998146781420804,"Q7TP46;F8WG88;Q62632","Follistatin-related protein 1","Fstl1","tr|Q7TP46|Q7TP46_RAT Ab2-379 OS=Rattus norvegicus OX=10116 PE=2 SV=1;tr|F8WG88|F8WG88_RAT Follistatin-related protein 1 OS=Rattus norvegicus OX=10116 GN=Fstl1 PE=4 SV=3;sp|Q62632|FSTL1_RAT Follistatin-related protein 1 OS=Rattus norvegicus OX=10116 GN=Fstl",60.706,995220000,64759000,157390000,14434000,19295000,16604000,70402000,78892000,197300000,169710000,206440000,2233100,5427100,497720,665330,572560,2427700,2720400,6803500,5852200,7118500,79310000,51802000,38371000,37555000,40293000,117260000,85208000,156500000,145720000,166350000,9,7,5,7,4,17,7,15,16,22
