Majority protein IDs,Protein IDs,Protein names,Gene names,logFC,PValue,FDR,AverageC_lfq,AverageR_lfq,AverageMS_C,AverageMS_R,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5
G3V803,G3V803,NA,Cdh2,1.421972192,0.444713337,0.998404653,4.11E+07,1.22E+08,6.00E+00,1.18E+01,96566000,109010000,0,0,0,148590000,115860000,114310000,102830000,127060000,8,10,4,3,5,8,7,14,10,20
G3V8C3;P31000,G3V8C3;P31000;Q6P725;P48675;G3V712;CON__Q9DCV7;Q496Z5;CON__Q3KNV1;CON__P08729;F1M7P4;CON__P05787;CON__Q9H552;G3V8Q2;CON__Q9NSB2;CON__Q6ISB0;G3V7S2;F1LRZ7;Q6IG12;P21807;Q10758;P23565;P19527;P12839;P16884,Vimentin,Vim,0.04372875,0.980882689,0.998404653,2.20E+08,2.62E+08,1.58E+01,2.18E+01,230310000,265720000,150710000,230610000,223630000,261210000,254060000,271530000,233450000,290160000,20,22,9,15,13,20,13,23,23,30
G3V8G4;P55068;A0A0G2JYH8;P55068-2,G3V8G4;P55068;A0A0G2JYH8;P55068-2,Brevican core protein,Bcan,-1.501207922,0.420740919,0.998404653,6.36E+07,2.64E+07,7.60E+00,4.80E+00,80484000,83494000,70007000,83877000,0,0,0,40038000,48063000,43918000,10,15,5,5,3,1,0,4,12,7
G3V8R2;P55067,G3V8R2;P55067;A0A0G2K4R4;O70474,Neurocan core protein;150 kDa adult core glycoprotein,Ncan,-0.422055771,0.817415558,0.998404653,4.85E+08,4.20E+08,3.50E+01,4.00E+01,458360000,485040000,499970000,527720000,454890000,433380000,485510000,347560000,438420000,393990000,40,44,29,38,24,35,31,36,57,41
M0R757;P62630;F1M6C2,M0R757;P62630;F1M6C2;P62632,Elongation factor 1-alpha;Elongation factor 1-alpha 1,LOC100360413;Eef1a1;LOC100360150,2.571487934,0.18365477,0.998404653,1.84E+07,1.23E+08,3.40E+00,1.10E+01,46074000,46023000,0,0,0,87453000,82023000,134890000,156940000,152790000,4,10,0,0,3,6,6,14,15,14
P05065;Q6AY07,P05065;Q6AY07,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase,Aldoa;Aldoart2,0.42405791,0.816567636,0.998404653,1.32E+07,1.97E+07,1.60E+00,5.60E+00,35487000,30688000,0,0,0,31350000,0,20974000,22035000,24009000,2,5,0,1,0,5,1,7,6,9
P07335,P07335,Creatine kinase B-type,Ckb,0.054633425,0.976116927,0.998404653,3.33E+08,4.03E+08,2.68E+01,3.46E+01,321280000,408920000,299180000,319060000,317170000,352460000,372900000,439440000,415550000,436500000,32,28,21,27,26,31,33,37,39,33
P10111;A0A0G2K1P0;A0A0G2K2E4,P10111;A0A0G2K1P0;A0A0G2K2E4;M0RCZ9,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",Ppia,0.627847787,0.731817629,0.998404653,4.76E+07,8.59E+07,3.40E+00,9.40E+00,91607000,75693000,0,0,70789000,105110000,0,110880000,98059000,115570000,5,6,1,1,4,5,2,15,12,13
P12346;Q7TMC7;A0A0G2QC06;Q7TP24;P12346-2,P12346;Q7TMC7;A0A0G2QC06;Q7TP24;P12346-2,Serotransferrin,Tf;Srprb,-0.093231298,0.959257777,0.998404653,1.98E+10,2.15E+10,8.46E+01,2.84E+02,1.66E+10,3.00E+10,1.74E+10,1.68E+10,1.84E+10,2.20E+10,2.41E+10,1.89E+10,2.12E+10,2.15E+10,73,86,81,85,98,312,294,276,272,268
P12843;Q6LDG0,P12843;Q6LDG0;Q6LDF9,Insulin-like growth factor-binding protein 2,Igfbp2,-1.052606664,0.56826973,0.998404653,5.43E+08,3.04E+08,2.06E+01,1.84E+01,532580000,577440000,587740000,531180000,485740000,292030000,409610000,234950000,267090000,316560000,21,23,17,20,22,14,11,17,27,23
P14841,P14841,Cystatin-C,Cst3,-1.135755052,0.538811772,0.998404653,2.90E+09,1.53E+09,5.94E+01,4.16E+01,2257300000,3.89E+09,3.11E+09,2450600000,2780800000,1665600000,2067600000,1171700000,1281100000,1471700000,60,52,65,60,60,42,54,35,40,37
P15087;Q5U322;D4A8X4,P15087;Q5U322;D4A8X4,Carboxypeptidase E,Cpe,-0.589203923,0.747631465,0.998404653,2.71E+08,2.14E+08,1.56E+01,1.94E+01,245450000,297820000,274790000,293020000,243120000,0,278050000,257540000,261060000,270990000,17,17,13,21,10,6,15,24,25,27
P16975,P16975,SPARC,Sparc,0.38111364,0.834805367,0.998404653,5.58E+08,8.43E+08,3.38E+01,4.80E+01,518860000,658340000,516420000,609250000,485490000,752230000,850490000,880850000,810100000,921260000,35,29,26,48,31,58,47,44,46,45
P20059,P20059,Hemopexin,Hpx,-0.289648864,0.873991458,0.998404653,1.08E+09,1.03E+09,4.30E+01,3.16E+01,970580000,1156500000,1098100000,1105200000,1.05E+09,1067100000,949800000,1074200000,942400000,1100900000,54,16,51,48,46,36,38,24,31,29
P30009;F1LMW7,P30009;F1LMW7,Myristoylated alanine-rich C-kinase substrate,Marcks,-0.003648673,0.998404653,0.998404653,5.16E+07,6.13E+07,6.60E+00,1.10E+01,70030000,62778000,24568000,47487000,52994000,0,0,111340000,100930000,94476000,8,11,4,5,5,3,5,17,16,14
P30120;Q91ZP7,P30120;Q91ZP7,Metalloproteinase inhibitor 1,Timp1,0.702528159,0.701646496,0.998404653,1.29E+08,2.46E+08,1.18E+01,2.34E+01,100550000,144760000,149530000,127520000,122730000,248940000,249840000,233280000,245450000,250510000,10,13,12,11,13,22,27,24,26,18
P45592,P45592;M0R6D6;A0A0G2KA35,Cofilin-1,Cfl1,1.119551337,0.54448005,0.998404653,3.10E+07,7.47E+07,4.00E+00,1.14E+01,90588000,64659000,0,0,0,68468000,89111000,61277000,73313000,81576000,8,5,3,2,2,9,10,11,12,15
P55051,P55051,"Fatty acid-binding protein, brain",Fabp7,1.934460126,0.305869475,0.998404653,3.07E+07,1.30E+08,4.60E+00,7.60E+00,153570000,0,0,0,0,109750000,165110000,111250000,127280000,135390000,9,2,3,3,6,7,5,7,11,8
P62260,P62260,14-3-3 protein epsilon,Ywhae,0.535669672,0.769749208,0.998404653,3.75E+07,6.31E+07,5.00E+00,6.80E+00,43605000,56748000,0,37960000,49289000,46857000,0,83171000,93407000,91939000,6,9,3,4,3,5,2,7,12,8
P62804,P62804;Q5BM22;P62804-2,Histone H4;Osteogenic growth peptide,Hist1h4b,0.900019974,0.624640034,0.998404653,1.02E+08,2.22E+08,3.80E+00,9.00E+00,76559000,90340000,0,137350000,204080000,211250000,0,198740000,374530000,324660000,5,4,1,3,6,8,4,10,11,12
P63090,P63090,Pleiotrophin,Ptn,-1.078277445,0.559077287,0.998404653,1.43E+08,7.91E+07,9.40E+00,7.00E+00,117380000,159740000,166190000,138990000,134020000,84383000,85372000,54522000,90262000,80960000,8,5,13,10,11,9,5,6,9,6
P63259,P63259,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",Actg1,0.17729632,0.922626825,0.998404653,9.68E+08,1.27E+09,4.10E+01,5.78E+01,1054900000,1012700000,953450000,912630000,906040000,1274700000,1235800000,1300400000,1285200000,1274300000,45,37,43,40,40,62,60,58,49,60
P68370;A0A0H2UHM7;Q6AYZ1;Q68FR8,P68370;A0A0H2UHM7;Q6AYZ1;Q68FR8;Q6AY56;F1LUM5,Tubulin alpha-1A chain;Tubulin alpha-1C chain;Tubulin alpha-3 chain,Tuba1a;Tuba1c;Tuba3a,2.392092126,0.212933985,0.998404653,2.24E+07,1.34E+08,3.80E+00,1.52E+01,30672000,81089000,0,0,0,0,1.21E+08,173670000,185030000,189390000,4,9,1,3,2,4,8,21,26,17
Q3B7D6;P35446,Q3B7D6;P35446,Spondin-1,Spon1,-0.177383506,0.922588926,0.998404653,3.38E+07,3.38E+07,4.60E+00,5.20E+00,58698000,61462000,0,48598000,0,0,0,55096000,53478000,60268000,5,14,1,1,2,2,0,7,7,10
Q3KR76;P29598,Q3KR76;P29598,Urokinase-type plasminogen activator;Urokinase-type plasminogen activator long chain A;Urokinase-type plasminogen activator short chain A;Urokinase-type plasminogen activator chain B,Plau,-0.748462031,0.683360844,0.998404653,1.62E+07,1.09E+07,4.00E+00,3.00E+00,30742000,30072000,0,20147000,0,0,0,18630000,17504000,18520000,6,9,2,2,1,2,1,5,2,5
Q3KRE8;P85108,Q3KRE8;P85108,Tubulin beta-2B chain;Tubulin beta-2A chain,Tubb2b;Tubb2a,1.942263374,0.304048289,0.998404653,3.07E+07,1.32E+08,5.80E+00,1.38E+01,64038000,89572000,0,0,0,93416000,114010000,145530000,146400000,162070000,6,13,2,4,4,6,11,16,16,20
Q5BJ93;M0R5J4;P04764;Q5EB49,Q5BJ93;M0R5J4;P04764;Q5EB49;P15429;P07323;F1M9V3,Alpha-enolase,Eno1,0.423568711,0.816774943,0.998404653,5.32E+07,8.26E+07,7.40E+00,1.36E+01,58751000,80211000,36019000,54667000,36428000,59614000,49959000,92405000,92257000,118930000,9,11,7,6,4,9,8,18,14,19
Q5M7T7,Q5M7T7,NA,Pla2g7,-0.937588633,0.61049352,0.998404653,3.10E+08,1.90E+08,1.96E+01,1.94E+01,331230000,344730000,300740000,310490000,260690000,119170000,163240000,225150000,211910000,228100000,28,19,14,24,13,11,12,22,25,27
Q62656-3;Q62656;F1LMY3;Q62656-2,Q62656-3;Q62656;F1LMY3;Q62656-2,Receptor-type tyrosine-protein phosphatase zeta;Protein-tyrosine-phosphatase,Ptprz1,-0.346379886,0.849635002,0.998404653,4.98E+08,4.56E+08,3.08E+01,2.80E+01,510460000,515860000,461270000,494690000,508510000,455100000,452210000,423080000,471160000,477690000,30,27,36,31,30,25,17,31,37,30
Q65ZS7;A0A0G2K151;P02650;Q6PAH0,Q65ZS7;A0A0G2K151;P02650;Q6PAH0,Apolipoprotein E,Apoe,-0.593006547,0.746069555,0.998404653,2.74E+09,2.11E+09,7.42E+01,6.30E+01,2850300000,3327900000,2443400000,2533500000,2547600000,2110800000,2287400000,1971200000,2039600000,2118500000,84,60,77,82,68,90,56,53,63,53
Q6P7A4;P10960;F7EPE0,Q6P7A4;P10960;F7EPE0,Sulfated glycoprotein 1,Psap,2.24238696,0.240327535,0.998404653,4.17E+07,2.27E+08,4.00E+00,1.82E+01,52033000,121410000,0,0,35117000,179040000,178730000,277960000,241120000,255770000,3,12,1,2,2,13,14,25,19,20
Q6P7A8;G3V7X5;P24054,Q6P7A8;G3V7X5;P24054,SPARC-like protein 1,Sparcl1,0.125939007,0.944988126,0.998404653,2.10E+08,2.64E+08,2.18E+01,2.80E+01,252400000,241830000,129210000,276980000,149150000,140560000,219550000,308750000,300950000,350510000,27,24,21,19,18,19,17,32,35,37
Q6P7S6;G3V836;P05371,Q6P7S6;G3V836;P05371;O35510;A0A0G2KB42;Q9ERD1,Clusterin;Clusterin;Clusterin beta chain;Clusterin alpha chain,Clu,1.959563844,0.300041057,0.998404653,2.32E+08,1.05E+09,1.28E+01,5.00E+01,281260000,219360000,234200000,210020000,214240000,953480000,971290000,1102100000,1122500000,1118400000,17,14,13,11,9,53,61,36,53,47
Q7TP46;F8WG88;Q62632,Q7TP46;F8WG88;Q62632,Follistatin-related protein 1,Fstl1,1.220961158,0.509594285,0.998404653,4.95E+07,1.34E+08,6.40E+00,1.54E+01,79310000,51802000,38371000,37555000,40293000,117260000,85208000,156500000,145720000,166350000,9,7,5,7,4,17,7,15,16,22
