"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"B2GUX3;A0A0G2JY07",-2.64297967894855,6.69917780831367,8.87155423049478,0.00289648435265657,0.47168133650569,"B2GUX3","DNA helicase","Mcm5","tr|B2GUX3|B2GUX3_RAT DNA helicase OS=Rattus norvegicus OX=10116 GN=Mcm5 PE=2 SV=1;tr|A0A0G2JY07|A0A0G2JY07_RAT DNA helicase OS=Rattus norvegicus OX=10116 GN=Mcm5 PE=1 SV=1",82.465,734,"734;734;356",128.24,119710000,259250000,182720000,225750000,191780000,41072000,19569000,22246000,18398000,24760000,2850300,6172600,4350400,5374900,4566200,977910,465930,529660,438040,589530,138860000,223080000,218780000,267850000,274610000,50727000,32131000,34536000,22534000,37500000,11,23,19,25,25,4,4,3,6,7
"G3V7K3;A0A0G2K9I6;Q9JL97;P13635",2.60175269479305,10.2011566295787,8.62558702565128,0.003314736031987,0.50123544140832,"G3V7K3","Ceruloplasmin","Cp","tr|G3V7K3|G3V7K3_RAT Ceruloplasmin OS=Rattus norvegicus OX=10116 GN=Cp PE=1 SV=1;tr|A0A0G2K9I6|A0A0G2K9I6_RAT Ceruloplasmin OS=Rattus norvegicus OX=10116 GN=Cp PE=1 SV=1;tr|Q9JL97|Q9JL97_RAT GPI-anchored ceruloplasmin OS=Rattus norvegicus OX=10116 PE=2 SV=",120.66,1059,"1059;1084;1084;1059;1064;69",323.31,288710000,383440000,331370000,400010000,307610000,1658900000,1571700000,1413500000,1747900000,1083700000,6014800,7988200,6903500,8333500,6408500,34561000,32743000,29449000,36414000,22578000,365800000,398980000,432940000,450500000,440910000,2231400000,2325200000,2664500000,2816900000,2513900000,24,29,28,36,31,101,101,95,109,83
"A0A3Q9WS43;A0A0G2KB92;A0A1W2Q6Q2",2.54159505931777,6.75977407291437,8.27094023767136,0.00402846387559728,0.568550534975962,"A0A3Q9WS43",NA,NA,"tr|A0A3Q9WS43|A0A3Q9WS43_RAT Doublecortin-like kinase 1 OS=Rattus norvegicus OX=10116 GN=DCLK1 PE=2 SV=1;tr|A0A0G2KB92|A0A0G2KB92_RAT Serine/threonine-protein kinase DCLK1 OS=Rattus norvegicus OX=10116 GN=Dclk1 PE=1 SV=1;tr|A0A1W2Q6Q2|A0A1W2Q6Q2_RAT Serine",82.147,740,"740;729;739;421;433",61.255,27522000,27986000,29379000,24983000,23161000,174020000,211560000,215420000,166730000,123300000,834000,848050,890270,757070,701830,5273500,6411000,6528000,5052300,3736300,38024000,39190000,40201000,40530000,41391000,217830000,252860000,247010000,198780000,231080000,9,4,4,4,3,25,26,26,13,16
"P31647",-2.51525134849158,6.58656520396293,8.11726535386667,0.00438456481583365,0.58013273219499,"P31647","Sodium- and chloride-dependent GABA transporter 3","Slc6a11","sp|P31647|S6A11_RAT Sodium- and chloride-dependent GABA transporter 3 OS=Rattus norvegicus OX=10116 GN=Slc6a11 PE=1 SV=1",69.946,627,"627;567;567;597;597;602;607;617;628;631;635;602;614;619;621;635",24.157,149260000,425210000,162360000,128560000,170100000,20514000,15175000,2829900,23372000,10095000,9328700,26576000,10147000,8034800,10631000,1282200,948460,176870,1460700,630950,164560000,291720000,197980000,135240000,237790000,43593000,37719000,0,62910000,33753000,6,13,11,13,15,2,5,0,4,5
"F1M2P8;F1LS98;B5DFC4;P05696",-2.43187272370622,6.44867217500099,7.63758646459193,0.00571643550733603,0.622786814971305,"F1M2P8","Protein kinase C;Protein kinase C alpha type","Prkca","tr|F1M2P8|F1M2P8_RAT Protein kinase C OS=Rattus norvegicus OX=10116 GN=Prkca PE=1 SV=3;tr|F1LS98|F1LS98_RAT Protein kinase C OS=Rattus norvegicus OX=10116 GN=Prkca PE=1 SV=3;tr|B5DFC4|B5DFC4_RAT Protein kinase C OS=Rattus norvegicus OX=10116 GN=Prkca PE=2",72.77,636,"636;672;672;672;697",100.1,99174000,224060000,179270000,182910000,186780000,24710000,11522000,15974000,17614000,17592000,3005300,6789800,5432500,5542900,5660000,748800,349160,484060,533740,533090,110800000,182800000,200550000,189510000,240940000,45649000,23911000,34320000,35023000,30426000,11,23,22,19,19,5,2,4,5,5
"P11530;F5CC78;Q7TPH4;Q7TPH3;A0A0F7CRZ7;Q7TPH2;T2F9K4;Q05485",-2.43073052099197,6.44183118326657,7.63108751579622,0.00573706994105932,0.622786814971305,"P11530","Dystrophin","Dmd;DMD","sp|P11530|DMD_RAT Dystrophin OS=Rattus norvegicus OX=10116 GN=Dmd PE=1 SV=2;tr|F5CC78|F5CC78_RAT Dystrophin Dp71e OS=Rattus norvegicus OX=10116 GN=Dmd PE=2 SV=1;tr|Q7TPH4|Q7TPH4_RAT Dystrophin OS=Rattus norvegicus OX=10116 GN=Dmd PE=1 SV=2;tr|Q7TPH3|Q7TPH3",425.82,3677,"3677;600;604;622;503;507;340;340;93;36;957",77.109,183020000,271430000,169680000,169160000,163420000,12398000,30497000,9192800,14818000,7748400,973520,1443800,902540,899770,869250,65949,162220,48898,78818,41215,154430000,237370000,189380000,136180000,203520000,29144000,57048000,28129000,28976000,25852000,16,25,16,19,20,2,5,3,4,4
"Q5M7T7",-2.45674012568831,8.53097337461882,7.77956595138021,0.00528404915229583,0.622786814971305,"Q5M7T7",NA,"Pla2g7","tr|Q5M7T7|Q5M7T7_RAT Platelet-activating factor acetylhydrolase OS=Rattus norvegicus OX=10116 GN=Pla2g7 PE=2 SV=1",49.49,440,"440",323.31,1032400000,1185600000,838380000,831320000,677450000,62978000,57558000,25085000,61769000,45582000,49163000,56456000,39923000,39587000,32259000,2998900,2740900,1194500,2941400,2170600,1011600000,819170000,747070000,684500000,666500000,156400000,147390000,86608000,154300000,162200000,44,46,45,43,39,10,8,7,17,10
"Q5U2U0",-2.42272246204666,4.97720986354049,7.5855891268923,0.00588367326378181,0.622786814971305,"Q5U2U0","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial","Clpx","sp|Q5U2U0|CLPX_RAT ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Rattus norvegicus OX=10116 GN=Clpx PE=2 SV=1",69.207,633,"633",22.977,71249000,89847000,80757000,33197000,51640000,5025400,7777200,6622200,6506300,7888900,1826900,2303800,2070700,851200,1324100,128860,199420,169800,166830,202280,66233000,72641000,91251000,35713000,67923000,0,19983000,17083000,0,24137000,13,10,11,7,10,3,2,2,3,4
"O70509;D3ZGF1;F1LSA1;O08779;P26051-2;P26051",2.30206160987839,8.07850649770738,6.91189021099283,0.00856244262148086,0.863175763317856,"O70509","CD44 antigen","Cd44","tr|O70509|O70509_RAT CD44 antigen OS=Rattus norvegicus OX=10116 GN=Cd44 PE=1 SV=1;tr|D3ZGF1|D3ZGF1_RAT CD44 antigen OS=Rattus norvegicus OX=10116 GN=Cd44 PE=1 SV=3;tr|F1LSA1|F1LSA1_RAT CD44 antigen OS=Rattus norvegicus OX=10116 GN=Cd44 PE=1 SV=1;tr|O08779|",39.725,364,"364;478;779;780;364;503;514",91.265,87106000,103220000,77442000,104930000,42918000,404170000,356700000,304840000,385930000,250980000,6700400,7940300,5957100,8071500,3301400,31090000,27439000,23450000,29687000,19306000,104690000,126540000,119360000,125890000,95303000,582720000,527770000,586310000,598460000,495560000,6,6,3,6,3,18,16,17,19,20
"Q9Z1X8;G3V774",-2.28457865768182,5.26791634439524,6.81619742198436,0.00903347114953197,0.869266291979963,"Q9Z1X8",NA,"Fbxo2","tr|Q9Z1X8|Q9Z1X8_RAT Neural F box protein NFB42 OS=Rattus norvegicus OX=10116 GN=Fbxo2 PE=2 SV=1;tr|G3V774|G3V774_RAT F-box only protein 2 OS=Rattus norvegicus OX=10116 GN=Fbxo2 PE=4 SV=1",33.7,296,"296;296",40.981,158270000,119450000,42639000,102790000,76704000,20483000,18300000,19884000,16816000,14626000,11305000,8532100,3045700,7342000,5478800,1463100,1307200,1420300,1201200,1044700,93911000,84830000,56253000,92269000,73667000,22663000,0,32821000,26292000,0,15,13,5,9,9,5,0,2,2,0
"G3V7S0;P70627",-2.21314067782202,6.02299396798016,6.43033805238434,0.0112187224239192,0.902157094048806,"G3V7S0","Glutamate carboxypeptidase 2","Folh1","tr|G3V7S0|G3V7S0_RAT Folate hydrolase OS=Rattus norvegicus OX=10116 GN=Folh1 PE=1 SV=1;sp|P70627|FOLH1_RAT Glutamate carboxypeptidase 2 OS=Rattus norvegicus OX=10116 GN=Folh1 PE=1 SV=1",84.625,752,"752;752;778",34.806,120210000,176200000,116080000,129250000,111830000,10821000,9595000,3978700,26395000,12201000,2932000,4297600,2831100,3152600,2727500,263930,234020,97042,643790,297590,91175000,153540000,104720000,157560000,163650000,26749000,26667000,0,51587000,38349000,16,19,13,15,21,3,2,2,5,6
"G3V8P4;Q64604;A0A0G2JT62;Q4JFC6",-2.19802687609518,5.61153600691332,6.34979181649993,0.0117395073452476,0.902157094048806,"G3V8P4","Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase F","Ptprf","tr|G3V8P4|G3V8P4_RAT RCG50226, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Ptprf PE=1 SV=1;sp|Q64604|PTPRF_RAT Receptor-type tyrosine-protein phosphatase F OS=Rattus norvegicus OX=10116 GN=Ptprf PE=2 SV=1;tr|A0A0G2JT62|A0A0G2JT62_RAT Receptor-type tyros",211.56,1898,"1898;1898;1904;1290;620;460",66.53,66625000,128920000,90837000,124020000,77761000,9096800,5609900,11315000,15952000,9765300,666250,1289200,908370,1240200,777610,90968,56099,113150,159520,97653,66557000,97290000,106640000,116630000,116400000,16578000,0,29333000,29629000,32831000,10,14,14,19,14,4,0,5,5,4
"P97603;F1M0Z6",-2.24902085300091,5.37539501072996,6.62308529203135,0.0100665300966233,0.902157094048806,"P97603","Neogenin","Neo1","sp|P97603|NEO1_RAT Neogenin (Fragment) OS=Rattus norvegicus OX=10116 GN=Neo1 PE=1 SV=1;tr|F1M0Z6|F1M0Z6_RAT Neogenin OS=Rattus norvegicus OX=10116 GN=Neo1 PE=1 SV=2",150.64,1377,"1377;1209",76.387,91180000,105860000,52681000,119790000,56634000,8505900,4726500,5315600,12734000,6843100,1494800,1735300,863630,1963700,928420,139440,77483,87140,208760,112180,92173000,97112000,58192000,109500000,72945000,17871000,0,12271000,33170000,26162000,10,13,8,15,10,2,0,2,4,4
"Q63356;A0A0G2K9E8",2.19259234734303,6.17463870421106,6.3209204555694,0.0119321675169422,0.902157094048806,"Q63356","Unconventional myosin-Ie","Myo1e","sp|Q63356|MYO1E_RAT Unconventional myosin-Ie OS=Rattus norvegicus OX=10116 GN=Myo1e PE=1 SV=1;tr|A0A0G2K9E8|A0A0G2K9E8_RAT Unconventional myosin-Ie OS=Rattus norvegicus OX=10116 GN=Myo1e PE=1 SV=1",126.83,1107,"1107;998;1098",50.069,9656800,20163000,26693000,24191000,30772000,109670000,82119000,66861000,123860000,49843000,166500,347630,460220,417080,530550,1890900,1415800,1152800,2135500,859370,14773000,25422000,39233000,34901000,48348000,147980000,119700000,134960000,196850000,136980000,4,4,3,5,5,16,15,15,22,15
"Q66H12",-2.22453907939521,6.06982580837034,6.49133965468533,0.010840125764304,0.902157094048806,"Q66H12","Alpha-N-acetylgalactosaminidase","Naga","sp|Q66H12|NAGAB_RAT Alpha-N-acetylgalactosaminidase OS=Rattus norvegicus OX=10116 GN=Naga PE=2 SV=1",46.871,415,"415",32.801,195670000,224650000,134950000,104670000,132550000,13447000,48246000,12219000,21388000,0,8507500,9767400,5867500,4551000,5762900,584660,2097600,531260,929920,0,146650000,149070000,1.27e+08,121960000,149940000,38019000,70798000,0,39161000,0,19,18,13,10,9,3,6,3,4,0
"Q6P7S6;G3V836;P05371;Q9ERD1;O35510;A0A0G2KB42",2.23749187217329,6.35925222916743,6.56091766542512,0.010424259606347,0.902157094048806,"Q6P7S6","Clusterin;Clusterin;Clusterin beta chain;Clusterin alpha chain","Clu","tr|Q6P7S6|Q6P7S6_RAT Clusterin OS=Rattus norvegicus OX=10116 GN=Clu PE=2 SV=1;tr|G3V836|G3V836_RAT Clusterin OS=Rattus norvegicus OX=10116 GN=Clu PE=1 SV=1;sp|P05371|CLUS_RAT Clusterin OS=Rattus norvegicus OX=10116 GN=Clu PE=1 SV=2;tr|Q9ERD1|Q9ERD1_RAT Clu",51.464,447,"447;447;447;218;295;295",39.852,24513000,26406000,22486000,13534000,26968000,136850000,146330000,99036000,105490000,79239000,1290100,1389800,1183500,712300,1419400,7202600,7701300,5212400,5551900,4170500,46277000,37979000,41149000,0,55411000,204840000,188130000,169860000,128430000,148700000,3,3,4,2,6,19,23,11,16,12
"A0A068FP44;Q4AE70-3;Q4AE70-4;Q4AE70-2;Q4AE70",-0.249781318517291,4.60168763733137,0.0894055353019212,0.764934258921161,0.999996365408252,"A0A068FP44","Histone-arginine methyltransferase CARM1","CARM1;Carm1","tr|A0A068FP44|A0A068FP44_RAT Coactivator-associated arginine methyltransferase 1 variant 5 OS=Rattus norvegicus OX=10116 GN=CARM1 PE=2 SV=1;sp|Q4AE70-3|CARM1_RAT Isoform 3 of Histone-arginine methyltransferase CARM1 OS=Rattus norvegicus OX=10116 GN=Carm1;s",66.583,615,"615;573;585;608;651",12.177,29015000,71515000,12611000,13411000,20677000,36325000,22377000,13369000,26510000,12986000,1381700,3405500,600530,638630,984620,1729800,1065600,636630,1262400,618400,33002000,50394000,28331000,19901000,34022000,46127000,30917000,0,28876000,31392000,3,7,2,2,3,6,5,3,4,4
"A0A096MIV5;A2VD14;F1M8H5",0.0827584948502797,4.53120034223114,0.0098254015214303,0.921040480925181,0.999996365408252,"A0A096MIV5",NA,"Abcf2","tr|A0A096MIV5|A0A096MIV5_RAT ATP-binding cassette subfamily F member 2 OS=Rattus norvegicus OX=10116 GN=Abcf2 PE=1 SV=1;tr|A2VD14|A2VD14_RAT ATP-binding cassette subfamily F member 2 OS=Rattus norvegicus OX=10116 GN=Abcf2 PE=1 SV=1;tr|F1M8H5|F1M8H5_RAT ATP",71.655,627,"627;624;434;251",10.687,12880000,46712000,30452000,24455000,15737000,21024000,30986000,14756000,5215300,11428000,390310,1415500,922780,741060,476890,637100,938980,447150,158040,346310,25092000,27968000,28965000,27857000,31050000,29258000,40151000,28907000,21147000,28103000,2,7,5,3,3,4,6,4,3,4
"A0A096MJ04;Q6AXR6;B6DYQ5;Q9Z339",0.221939530278454,4.85248873021227,0.0706035005078837,0.790460102612642,0.999996365408252,"A0A096MJ04","Glutathione S-transferase omega-1","Gsto1","tr|A0A096MJ04|A0A096MJ04_RAT Glutathione S-transferase omega 1, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Gsto1 PE=1 SV=1;tr|Q6AXR6|Q6AXR6_RAT Glutathione S-transferase omega 1, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Gsto1 PE=1 SV=1;tr|B6DYQ5|",24.944,213,"213;241;241;241;248",12.599,57483000,52151000,29080000,38112000,28610000,35800000,33081000,23341000,29321000,21315000,4790200,4345900,2423400,3176000,2384200,2983300,2756800,1945100,2443400,1776300,35431000,35364000,29646000,35413000,31469000,39531000,41682000,33284000,38635000,39879000,6,5,4,6,6,6,4,4,5,4
"A0A096MJA9;A0A096MKE0;A0A0G2K2B5;A0A096MIY8;A0A096MK70",-0.174786516267118,4.45868942018277,0.0438061523205169,0.834214681477287,0.999996365408252,"A0A096MJA9",NA,"Asph","tr|A0A096MJA9|A0A096MJA9_RAT Aspartate-beta-hydroxylase OS=Rattus norvegicus OX=10116 GN=Asph PE=1 SV=1;tr|A0A096MKE0|A0A096MKE0_RAT Aspartate-beta-hydroxylase OS=Rattus norvegicus OX=10116 GN=Asph PE=1 SV=1;tr|A0A0G2K2B5|A0A0G2K2B5_RAT Aspartate-beta-hydr",74.889,657,"657;737;789;259;291;140;199;207;207",28.077,28136000,38224000,19941000,22786000,19382000,17581000,19577000,21525000,22448000,10971000,937850,1274100,664700,759540,646050,586040,652570,717490,748280,365700,36436000,28427000,22589000,32739000,26071000,28294000,24067000,29273000,23104000,23410000,3,4,3,3,4,3,4,4,5,4
"A0A096MJJ6;B1H213;A0FKI7-2;A0FKI7;A0FKI7-3;M0R9S4;A0A0G2K3Z5",-0.365656342370105,3.0800997502903,0.191326388968349,0.661814960775603,0.999996365408252,"A0A096MJJ6","Acyl-CoA-binding domain-containing protein 5","Acbd5;LOC100910957","tr|A0A096MJJ6|A0A096MJJ6_RAT Acyl-CoA-binding domain-containing protein 5 OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=1 SV=1;tr|B1H213|B1H213_RAT Acbd5 protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=2 SV=1;sp|A0FKI7-2|ACBD5_RAT Isoform 2 of Acy",52.389,470,"470;502;471;506;507;507;508;326",13.126,15096000,16412000,12077000,9147100,10576000,2067400,10792000,9033900,6780400,5090800,686160,746010,548960,415780,480740,93973,490560,410630,308200,231400,14961000,15925000,6962700,10681000,11217000,0,15655000,9212900,12526000,8730800,2,3,5,5,5,0,0,3,3,2
