"gene_names","logFC","logCPM","LR","PValue","FDR","TICI1","TICI2","TICI3","TICI4","TICI5","VEH1","VEH3","VEH4","VEH5","peptide_no","percent_sequence_coverage","mol_weight","q_value","score","intensity","msms_count","protein_ids","protein_names"
"Eif2ak2",1.20027918778897,8.18133924134553,84.6037972489471,3.64564376597815e-20,4.42805500498423e-18,111140,122150,114480,127860,141990,51334,57101,53151,59876,4,11.3,58.258,0,21.116,363090000,5,"Q63184","Interferon-induced, double-stranded RNA-activated protein kinase"
"Nampt",1.14522131745497,10.2134807219672,77.3427592085627,1.43720643717596e-18,1.62096354592918e-16,682400,433500,458970,475060,428560,251780,216890,223790,236500,9,25.3,55.437,0,89.654,4575300000,29,"Q80Z29","Nicotinamide phosphoribosyltransferase"
"Clic4",1.13411962087815,10.6015099811288,75.9087638963902,2.97078621361445e-18,3.12724762086481e-16,478430,732010,597570,676510,778970,257500,286960,321410,363680,9,38.7,28.633,0,68.684,7040100000,48,"Q9Z0W7","Chloride intracellular channel protein 4"
"Oasl2",1.12307612271115,7.55369060473225,74.4222517950551,6.30740353969779e-18,6.22461886823926e-16,80657,62825,91232,72831,88393,40468,35471,33498,39330,3,9.2,59.405,0,13.64,540020000,6,"Q5MYT9","2-5-oligoadenylate synthase-like protein 2"
"Rsad2",1.09234116547269,6.88594133699009,70.5007949506594,4.60081045947015e-17,4.27334100911962e-15,37092,54918,52779,57265,42740,26325,23486,20512,24743,2,9.4,41.255,0,3.7341,963060000,4,"O70600","Radical S-adenosyl methionine domain-containing protein 2"
"Irgm",1.0861942442357,8.20659046836275,69.8070398745115,6.53990552983098e-17,5.73695046200173e-15,124660,113540,126650,125000,124240,64395,57786,56393,59497,3,12.9,46.337,0,31.66,4446800000,15,"Q6AYC2","Immunity-related GTPase family M protein"
"Phf11",0.962906896080722,4.90813315831748,54.9613789723811,1.22921658398069e-13,1.02154367689764e-11,14951,12740,13546,10415,8477.8,6557.4,6397.2,6146.8,6657.6,1,4.2,37.214,0,2.3475,47303000,1,"Q5I0E2","PHD finger protein 11"
"Dnah12",0.913613846091829,5.96194120176284,49.7911390917464,1.71014552317223e-12,1.35015989054447e-10,25025,22158,28266,23705,26415,13916,14040,13344,13433,3,1,357.24,0.0019169,1.7209,808720000,3,"Q923J6","Dynein heavy chain 12, axonemal"
"Slfn13",0.899408930549805,7.22300709683928,48.3820107292888,3.50771287457413e-12,2.63746601378693e-10,51419,58356,57497,66034,66667,32805,32178,30316,37178,1,1.3,103.65,0,3.7589,98844000,2,"Q5U311","Schlafen family member 13 (EC 3.1.-.-) (Ribonuclease S13) (RNase S13) (Schlafen-13) (Schlafen13) (rSLFN13)"
"Serpine1",0.896303215611359,5.82202958691258,47.9561312897349,4.35862956881822e-12,3.12830731325635e-10,21734,17945,23802,25051,25524,13503,11190,12452,12960,1,4.2,45.009,0,9.6149,88949000,3,"P20961","Plasminogen activator inhibitor 1"
"Psmb10",0.814951285960498,7.54627925187917,39.9236051512653,2.64092270258586e-10,1.81305084668829e-08,87481,60570,75567,67639,77073,56209,36307,37769,41212,3,16.1,29.038,0,31.938,777260000,7,"Q4KM35","Proteasome subunit beta type-10"
"Ass1",0.765987110768701,7.22092287766775,35.3559836766771,2.74623560109397e-09,1.80679417255307e-07,46693,63414,49784,58511,72661,38382,33603,30279,38512,4,18.7,46.496,0,22.406,543030000,6,"P09034","Argininosuccinate synthase"
"Sord",0.741233399457576,5.51434893766854,33.0572261363489,8.94858479086553e-09,5.65192615391067e-07,15921,16990,20037,17281,18370,9634.5,11153,11175,11754,3,11.2,38.234,0,7.8512,849290000,3,"P27867","Sorbitol dehydrogenase"
"Gja1",-0.694084924766118,6.61356345081688,30.1652486686231,3.96755347655316e-08,2.40952574595286e-06,21387,21979,27128,22371,30274,30781,46894,37421,48747,2,7.9,43.031,0,19.96,805090000,4,"P08050","Gap junction alpha-1 protein"
"Icam1",0.676739577341339,5.3645879188398,27.6350863475618,1.46497200986953e-07,8.56737334660736e-06,16863,15351,14588,13658,18167,13739,8401,7843.3,10376,1,2.6,60.141,0,2.268,50371000,1,"Q00238","Intercellular adhesion molecule 1"
"Amdhd2",0.678901979805952,2.43450557104569,26.9952314428254,2.03958008470927e-07,1.15017748348426e-05,1851.6,1979.5,2128,2132.9,2236.4,1678.4,1130.6,1309.3,1158.5,1,6.4,43.538,0,3.024,201720000,2,"Q5BJY6","Putative N-acetylglucosamine-6-phosphate deacetylase"
"Vwa5a",0.649681581326721,10.0370278571159,25.6160373033454,4.16562882788253e-07,2.26811307559535e-05,360840,375780,420970,389390,451990,254380,257850,247260,288590,12,21.9,91.481,0,74.056,3793800000,35,"Q75WE7","von Willebrand factor A domain-containing protein 5A"
"Akap2",0.644040274877035,6.92651586970451,25.1461489854588,5.31456761372692e-07,2.79723408735827e-05,37026,43187,47507,44791,59791,28227,28100,30996,34455,2,3.6,95.94,0,7.3323,93516000,2,"Q5U301","A-kinase anchor protein 2"
"Psmf1",0.59995229925134,5.33175284943147,21.8008765155652,3.02461926704565e-06,0.000154060445892422,16845,13332,17447,12455,15417,10447,9819.2,10454,10274,2,11.8,29.854,0,9.1002,66294000,3,"Q5XIU5","Proteasome inhibitor PI31 subunit"
"Ddt",-0.582818537989328,5.58121554686127,21.2277942284038,4.07807629867202e-06,0.000201227577362598,10455,10785,15812,11259,14556,13532,33907,13279,16254,3,28,13.133,0,3.5964,181010000,3,"P80254","D-dopachrome decarboxylase"
"Psme1",0.555367389990848,9.78481161031119,18.8031688374704,1.44926134075053e-05,0.000693449593043965,353220,276330,329460,319470,362140,250520,214720,219160,231250,13,52.6,28.577,0,48.893,1.4281e+10,47,"Q63797","Proteasome activator complex subunit 1"
"ifitm3",0.534526044068933,6.77739863961382,17.4095354602612,3.01310597056715e-05,0.00139932186103692,38219,32305,43665,39652,50476,29805,28847,25378,31135,2,30.7,14.971,0,14.037,1894900000,6,"P26376","Interferon-induced transmembrane protein 3"
"Slc14a1",-0.526364721962715,5.87381545781188,17.323209799506,3.15312061030671e-05,0.0014225078410498,15425,12745,16664,16615,16939,18180,22119,25891,26807,2,4.9,42.033,0,2.1716,257680000,3,"P97689","Urea transporter 1"
"Psme2",0.503180432951473,9.04995709384078,15.4700235274706,8.38241539358816e-05,0.00367662052957659,223400,158640,201500,179060,210090,173430,128230,124280,135910,7,43.3,26.857,0,92.133,4916400000,20,"Q63798","Proteasome activator complex subunit 2"
"Tor3a",0.5016336881473,6.64005469420463,15.3530525100471,8.91767330098804e-05,0.00380567733574598,45380,30145,33242,33279,40671,29510,23758,24637,28212,3,10.6,45.166,0,18.185,417320000,6,"Q5M936","Torsin-3A"
"Cplx2",-0.482188881932695,7.03040389543618,14.5585608747474,0.000135869908243117,0.00564575223989161,38778,27609,37282,34782,39212,42411,55744,49365,56609,2,28.4,15.394,0,12.037,718020000,4,"P84087","Complexin-2"
"A2m",-0.468512839600785,3.8643279886059,13.5936921661912,0.000226946822338601,0.00918843673006799,4283,3327.2,4778.3,3080.4,4401.1,5422.3,6173.8,4951.1,6035.3,2,2,163.78,0,5.2035,239680000,2,"P06238","Alpha-2-macroglobulin"
"Cd44",0.458735068645836,8.37129814645358,12.8802611237388,0.000332065904146046,0.0131083015661652,87254,126490,112960,142500,130470,79142,87049,92210,102040,4,10.9,55.945,0,30.443,5633400000,12,"P26051","CD44 antigen"
"Pfkp",0.456759668126923,10.2664059914491,12.7758407856222,0.000351124761796007,0.0135225853384365,319690,453330,478520,475370,509550,237960,356420,377320,372040,11,21.3,85.719,0,83.021,5241500000,33,"P47860","ATP-dependent 6-phosphofructokinase, platelet type"
"Spg7",-0.453074530968511,1.3484351968492,12.0241112088,0.00052516735278358,0.0197437916677446,617.46,458.25,986.24,504.53,968.72,847.15,901.9,912.12,1278.5,1,3.7,86.102,0,3.9309,12478000,1,"Q7TT47","Paraplegin"
"Bid",0.442526897918585,3.58626868117116,11.8188398113408,0.000586343847128987,0.0215310915027133,5241.5,4681.1,3870.1,3434.2,4221.1,4499.2,2671.2,2754,3123.4,1,5.6,22.249,0,4.0179,12463000,1,"Q9JLT6","BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11"
"Cadm4",-0.425845837752342,7.0345581685618,11.3502909483052,0.00075436150369804,0.0270712912349819,32227,29958,41525,37672,40849,39100,53327,51258,57491,1,4.4,42.781,0,25.034,204850000,3,"Q1WIM1","Cell adhesion molecule 4"
"Caprin1",0.418898288537633,9.65381192721309,10.7619898603443,0.00103605931573152,0.0355638621639144,280230,267630,297020,278450,323340,201070,217410,228160,244750,13,19.2,78.12,0,39.617,5.74e+09,30,"Q5M9G3","Caprin-1"
"Vgf",0.419620934884083,6.4059472804252,10.7779650288181,0.00102715544948471,0.0355638621639144,29100,24274,31800,31688,36311,26881,21626,23177,21558,1,2.9,68.178,0,10.159,357500000,4,"P20156","Neurosecretory protein VGF;VGF(24-63);VGF(180-194);VGF(375-407);Neuroendocrine regulatory peptide-1;Neuroendocrine regulatory peptide-2;TLQP-11;TLQP-21;TLQP-30;TLQP-62;HFHH-10;AQEE-30;LQEQ-19"
"Cndp1",-0.413293528018273,5.55123185364855,10.6630304826588,0.00109298170236101,0.0367195342133625,18750,10142,14313,9775.1,11786,32802,13927,11130,12375,1,2.8,54.927,0.0069009,1.3464,98078000,2,"Q66HG3","Beta-Ala-His dipeptidase"
"Mt2",-0.410268311889169,9.74123127774847,10.5458193083805,0.0011645119030412,0.0383075894771263,193660,250430,213340,236070,298140,222270,335210,351100,401330,4,67.2,6.1453,0,26.95,3.1287e+10,19,"P04355","Metallothionein-2"
"Ptpn1",0.40552502852619,5.99510246657839,10.0648736321669,0.00151122930740234,0.0486985933956796,17772,22047,21916,24954,27812,15326,17458,17035,21332,2,11.3,49.674,0,6.8971,218200000,3,"P20417","Tyrosine-protein phosphatase non-receptor type 1"
"Nes",-0.399780990237397,11.8566122822444,10.0141790040907,0.00155339645688426,0.049056260108405,944570,847230,1089000,1058300,1273900,1100000,1479700,1457100,1603700,37,29.2,208.79,0,323.31,1.5544e+10,89,"P21263","Nestin"
"Ctss",0.389740865276198,6.99447233331674,9.3157273769084,0.00227195167470791,0.0703414057718389,85916,28941,39653,35009,35053,53842,33270,25741,28303,1,3.9,36.833,0.00064185,1.7767,236520000,4,"Q02765","Cathepsin S"
"Cyp7b1",0.388154096082715,7.60627478723417,9.24536844835484,0.00236091788714946,0.0716901796886345,42808,77715,66019,73310,87897,40770,56703,57074,64673,3,9.9,48.226,0,19.616,708370000,10,"Q63688","25-hydroxycholesterol 7-alpha-hydroxylase"
"Hk2",0.386143851328018,8.2317343127187,9.1535415049002,0.00248237156478261,0.0725863833479953,155000,75195,113430,94528,94577,137700,65790,62557,66757,8,12.8,102.54,0,35.283,1321700000,13,"P27881","Hexokinase-2"
"Tap2",0.387330769308054,5.16455519664801,9.16835423080253,0.00246235905591306,0.0725863833479953,12029,10994,15769,11504,13720,10593,10068,8888.9,10580,1,3.3,77.712,0,27.572,905220000,3,"P36372","Antigen peptide transporter 2"
"Psmb9",0.382229769523882,5.49961230759929,8.93973615066557,0.00279033022977093,0.0786773470144339,15406,13622,16815,16836,17989,12876,12173,11873,13868,2,7.3,23.324,0,3.5196,168670000,2,"P28077","Proteasome subunit beta type-9"
"Timp1",0.382373003993461,6.06052450272605,8.95810270952553,0.00276241627809666,0.0786773470144339,20405,20229,24032,25264,29532,14995,18528,18436,23350,1,7.4,23.793,0,3.8808,179550000,2,"P30120","Metalloproteinase inhibitor 1"
"Ehd2",-0.376127213915152,6.47193742053317,8.84470867804355,0.00293939812241887,0.0798150128581636,17505,21040,26508,28572,32660,20254,37737,35881,40486,2,4.4,61.237,0,7.0037,203620000,3,"Q4V8H8","EH domain-containing protein 2"
"Ugdh",0.378933227138079,8.45402173140848,8.81825238985425,0.00298232156974772,0.0798150128581636,117300,113970,122370,114920,156990,111270,82217,98586,101210,3,8.7,54.891,0,16.823,634350000,8,"O70199","UDP-glucose 6-dehydrogenase"
"Wars",0.380132169992039,9.68319712956725,8.87636699684663,0.00288885846918858,0.0798150128581636,303170,253070,315980,277290,312000,244200,224680,218930,234300,11,31,54.143,0,70.306,5398900000,26,"Q6P7B0","Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS"
"Atad1",0.376686214311388,8.05124929316461,8.71332103198756,0.00315893211403156,0.0831325634675971,87977,78420,105160,96238,104980,68498,74641,71627,84275,4,30.5,40.717,0,91.921,3833600000,16,"Q505J9","ATPase family AAA domain-containing protein 1"
"Stat3",0.372837338118287,9.23956969636079,8.54076533567377,0.00347279582331747,0.0898941738527589,226270,197080,217730,195530,234330,193010,154260,157180,175290,13,22.5,88.039,0,63.072,2436300000,24,"P52631","Signal transducer and activator of transcription 3"
"Reep5",0.363890082713515,8.2451955455745,8.13624641593651,0.00433890107835226,0.110502012947068,91765,96648,93787,127360,129350,63049,86457,95775,99524,4,11.6,21.431,0,7.3106,2383200000,9,"B2RZ37","Receptor expression-enhancing protein 5"
"Map2k1",0.357287581549521,8.43962042234992,7.84627864082745,0.00509254265220246,0.127636902346471,145460,106090,127120,108570,124240,117590,92769,89904,91808,5,18.3,43.465,0,12.454,838050000,9,"Q01986","Dual specificity mitogen-activated protein kinase kinase 1"
"Gtf2i",-0.355381639187002,2.15856012719329,7.60469053342494,0.00582166550435408,0.143631403615236,1688.8,683.15,1361.1,956.02,1710.9,1927,1471.8,1481.2,1762.7,1,2.6,110.21,0,2.9213,95434000,1,"Q5U2Y1","General transcription factor II-I"
"Pdlim4",-0.344707913335474,8.81521111845709,7.43809378157243,0.00638574916279636,0.155124583508545,131690,103240,138370,121020,149780,152530,165740,168860,183760,8,35.8,35.521,0,51.074,3946600000,21,"P36202","PDZ and LIM domain protein 4"
"Cpe",-0.335824719125741,7.49134908275378,7.0546714773169,0.00790588071507189,0.185267468572726,45780,45617,56443,54595,54896,59662,70458,69497,67166,3,12,53.308,0,22.806,699950000,11,"P15087","Carboxypeptidase E"
"Impa1",0.338070414581651,6.20324180622075,7.01651588174298,0.00807612283911954,0.185267468572726,25518,23647,26975,25859,27369,22376,20720,19529,21518,3,15.9,30.511,0,9.5144,616030000,6,"P97697","Inositol monophosphatase 1"
"Lgals3",-0.334671338003468,10.2066060564992,7.01213265252954,0.00809591851267772,0.185267468572726,344100,262110,403760,315730,369610,406120,502190,408820,433170,9,32.4,27.201,0,40.024,2.2567e+10,55,"P08699","Galectin-3"
"Mp68",-0.336651864163127,5.28602337630817,7.06389773788123,0.00786526895821629,0.185267468572726,15506,5675.6,17187,7597.8,9977.3,26019,11413,8981.3,10588,1,18.3,6.9142,0,2.4975,3889100000,8,"D3Z9R8","6.8 kDa mitochondrial proteolipid"
"Ctsd",-0.329579788671202,11.9477207165388,6.80068629122979,0.00911228395232144,0.202652061418529,1941900,604860,1391000,714200,988480,2265700,1478700,863580,1173700,11,35.9,44.68,0,110.93,2.9651e+10,58,"P24268","Cathepsin D;Cathepsin D 12 kDa light chain;Cathepsin D 9 kDa light chain;Cathepsin D 34 kDa heavy chain;Cathepsin D 30 kDa heavy chain"
"Gtpbp1",0.333609098748557,5.01851369591533,6.81237561373288,0.00905282490893459,0.202652061418529,10842,10057,11614,11347,13174,8111.9,9459.8,10285,9284.2,1,1.8,72.488,0,4.0623,98828000,2,"D2XV59","GTP-binding protein 1"
"Stat5a",0.324979356556268,6.63765451328227,6.49109504778914,0.0108416174102401,0.237762692927349,31585,33395,33994,33775,41939,29637,25632,28984,30183,2,3.4,90.832,0,7.3447,194800000,3,"Q62771","Signal transducer and activator of transcription 5A"
"Ppt1",-0.319513469324717,6.70614546344815,6.38011126625406,0.0115406196396279,0.249625183711952,29440,22833,40531,24998,33055,39768,44556,30315,39109,4,19.3,34.455,0,13.321,1029500000,7,"P45479","Palmitoyl-protein thioesterase 1"
"Gmps",-0.315186125051001,6.16311558457807,6.20328344014798,0.0127513548370444,0.261485575164847,19054,18800,21266,20264,23899,22041,24127,22626,37566,2,2.6,76.757,0,2.6655,180100000,2,"Q4V7C6","GMP synthase [glutamine-hydrolyzing]"
"Ninj1",0.319139620190687,4.47203115991346,6.22140656205698,0.0126214803642957,0.261485575164847,7744.8,7454.1,8238.2,7794,7379.5,7536.9,6345,5994.1,5564.8,1,13.2,16.539,0,14.532,106710000,3,"P70617","Ninjurin-1"
"Rab3il1",-0.316583096202402,4.83030738929913,6.23454543475759,0.0125281747034848,0.261485575164847,10791,6495.4,8875.5,6465.9,8148.1,14031,9628.6,8156.4,9822.8,1,5.3,41.907,0,5.6958,86384000,2,"Q99NH3","Guanine nucleotide exchange factor for Rab-3A"
"Tfrc",-0.316630479214234,7.30007674752496,6.26887674012573,0.0122877015680452,0.261485575164847,41486,41662,47200,43672,53064,50300,61052,63844,56862,4,5,85.875,0,19.709,111780000,6,"Q99376","Transferrin receptor protein 1"
"Hmga1",0.310423649373127,8.67722919447555,5.93413061501224,0.0148503928378017,0.294045368711768,111040,117770,144620,185290,159220,95778,122790,133360,122470,6,29,11.706,0,14.418,6796600000,14,"Q8K585","High mobility group protein HMG-I/HMG-Y"
"Kars",0.311282524967416,10.363841246703,5.96864173614586,0.0145624935203864,0.294045368711768,452210,396600,477470,458370,519760,389950,372170,366630,394310,13,30,71.622,0,89.419,6857700000,40,"Q5XIM7","Lysine--tRNA ligase"
"Wdr26",0.311021522927831,5.12350916377728,5.92851368756002,0.0148978020879933,0.294045368711768,12730,10767,13020,11486,12753,10909,9426.1,9160.1,10796,1,3.7,58.49,0.00064226,1.7817,176250000,2,"F1LTR1","WD repeat-containing protein 26"
"Cd47",0.30917809556898,6.15400620719006,5.87444802180762,0.0153621886872731,0.299467851076595,23775,23852,25846,23475,27075,22741,18823,18766,22021,1,3.3,32.995,0,2.0836,57490000,1,"P97829","Leukocyte surface antigen CD47"
"Mcm6",-0.306720133203113,4.52847149265352,5.84271628183026,0.0156416612959057,0.301197355929697,9339.8,4287,8725.3,4709,6229.4,13754,7636.4,5881,6156.2,1,2.4,57.369,0,3.142,31412000,2,"Q62724","DNA replication licensing factor MCM6"
"Serpine2",-0.304152017297787,6.61562494215476,5.77957948770313,0.0162134199409759,0.308445663696396,20517,23480,42807,25438,30380,26382,52264,30352,35003,1,4.5,44.063,0,9.4792,102430000,2,"P07092","Glia-derived nexin"
"Tm4sf4",-0.302721006340945,6.04106412437889,5.72012046750305,0.0167715796800749,0.315265765652837,18889,15879,21180,17830,21661,22097,18370,22184,34579,1,3.5,21.484,0.0087282,1.1718,224990000,4,"Q9EQL5","Transmembrane 4 L6 family member 4"
"Cap1",0.301164375372358,10.9162327776394,5.58929085402985,0.018070610547972,0.331784814595905,776970,571000,683050,620710,705950,656280,524120,506960,549940,18,52.3,51.588,0,129.2,2.8727e+10,78,"Q08163","Adenylyl cyclase-associated protein 1"
"Mt1",-0.299325154764119,8.220546860936,5.60407364282355,0.0179187662666312,0.331784814595905,58781,103440,75517,74862,119300,70909,106850,122400,139860,3,34.4,6.0061,0,10.612,1327100000,5,"P02803","Metallothionein-1"
"Ifi30",-0.287707887438703,8.04607201707748,5.17625556256417,0.0228976178908404,0.415578605168241,86744,57987,84009,73313,82691,105940,103920,81469,92919,2,14.5,27.644,0,9.5246,920300000,6,"Q499T2","Gamma-interferon-inducible lysosomal thiol reductase"
"Aplp2",0.288771298034061,2.62105363352246,4.99464385119784,0.0254258855679545,0.456221287634093,1805.6,1691.5,2557.7,2427.4,2225.8,1310.2,1863.5,1811.7,2235.4,1,2.6,86.882,0,3.9477,76723000,1,"P15943","Amyloid-like protein 2"
"na.5",-0.281627039237718,9.89150358764511,4.96176739114844,0.0259137088569225,0.459749958259333,210070,234980,302820,301400,344140,246820,484980,345240,304710,7,50.7,15.404,0,32.75,1.22e+11,55,"Q6LED0","Histone H3.1"
"Trpv2",-0.281317368098055,5.90821078728661,4.93678121261223,0.0262909527297427,0.461260159558487,32044,10693,17368,12635,13853,45930,12837,13593,13205,1,1.8,86.705,0,11.709,198020000,3,"Q9WUD2","Transient receptor potential cation channel subfamily V member 2"
"Chmp5",0.281785813850008,6.65025680936682,4.8882810130512,0.0270395955325418,0.464512386984447,28675,34377,30191,41094,39471,20776,29683,32239,35619,2,16.9,24.575,0,31.128,589050000,7,"Q4QQV8","Charged multivesicular body protein 5"
"Cntfr",-0.279860008122038,5.57210403429707,4.88213173298429,0.0271360859218934,0.464512386984447,12793,8841.8,19676,13707,14937,17743,18646,15404,17270,1,3,40.822,1,-2,148540000,1,"Q08406","Ciliary neurotrophic factor receptor subunit alpha"
"Edf1",0.28106517139523,7.72254287502089,4.86802039815007,0.0273588676311296,0.464512386984447,76520,60546,81732,68385,78924,67621,62725,55864,60594,2,12.8,16.369,0,8.0534,602090000,4,"P69736","Endothelial differentiation-related factor 1"
"Rbms1",0.275866431863255,5.7712917545215,4.67896829894676,0.0305340812117539,0.512907598227228,17652,15534,21387,18856,21365,16797,16539,14848,15811,1,3.7,44.067,0,5.0925,44272000,1,"Q5PQP1","RNA-binding motif, single-stranded-interacting protein 1"
"Ybx1",0.27355850149674,9.36728386082755,4.61542699582969,0.0316856055646113,0.523396948719274,225890,212810,204570,246710,248810,159090,197060,206620,215530,4,23.9,35.73,0,79.808,8717400000,14,"P62961","Nuclease-sensitive element-binding protein 1"
"Ywhah",0.273324063595788,10.1506076867704,4.60808910625383,0.0318214737663397,0.523396948719274,354690,401990,361640,399980,440080,282380,336070,342480,378960,11,46.7,28.211,0,70.941,1.0708e+10,28,"P68511","14-3-3 protein eta"
"Lgals3bp",0.272698751839669,6.4664752846307,4.57845346165141,0.032376423283252,0.526176793938082,31141,27050,34446,28112,31849,26371,24828,24732,28032,2,6.4,63.742,0,13.011,594450000,4,"O70513","Galectin-3-binding protein"
"Pdia3",0.271983823486679,11.5065331477023,4.56367372142495,0.0326569511120532,0.526176793938082,999220,952260,912240,1054500,1094000,813050,834710,865120,910280,26,59.4,56.623,0,246.03,6.0364e+10,110,"P11598","Protein disulfide-isomerase A3"
"Sdhaf2",-0.269483861136397,4.58935642142071,4.50942711854506,0.0337085290252935,0.537634013443823,8486.5,5331.5,7703.3,6364.2,7299.8,10270,8248.5,7738.8,8481.9,1,8.5,19.524,0,2.5238,15271000,1,"Q5RJQ7","Succinate dehydrogenase assembly factor 2, mitochondrial"
"Eif6",0.267189536660846,7.37115125426026,4.4004179700118,0.0359301236287398,0.567336652097801,52768,48703,60460,57299,67449,49448,46823,46935,51823,3,27.3,26.571,0,14.933,542860000,6,"Q3KRD8","Eukaryotic translation initiation factor 6"
"Gak",0.266767032780927,5.57435034018296,4.37472737329267,0.0364756648960427,0.570248266048035,16909,13992,17633,15018,18770,13036,14296,13811,15057,2,2.9,143.7,0,12.741,240720000,4,"P97874","Cyclin-G-associated kinase"
"Marcksl1",0.258412302594774,8.21551379365725,4.11934976217594,0.0423953703656185,0.656296958895213,90269,86218,120940,103740,112020,83078,94728,83378,90331,4,35.2,19.847,0,21.288,8838600000,17,"Q9EPH2","MARCKS-related protein"
"Slc4a7",0.258347996116196,4.84070515523186,4.09389896153588,0.0430382530880833,0.659780598311491,8561.5,8322.6,12504,9557.8,10510,8098,8813.9,8580.3,8358,1,2.5,135.95,0,17.229,333140000,3,"Q9R1N3","Sodium bicarbonate cotransporter 3"
"Gatm",-0.254681331263326,11.7503369036116,4.05662974868028,0.0439982293297957,0.668011577997571,561880,891630,1032400,1335900,1288400,630960,1391700,1511800,1467300,22,59.3,48.242,0,252.19,2.4775e+10,88,"P50442","Glycine amidinotransferase, mitochondrial"
"Hmox1",0.249710853376395,9.34327128496023,3.84905544383946,0.0497740140558329,0.748506363753906,156360,301220,193170,244630,202810,145770,183430,224700,220100,5,31.8,33.005,0,49.746,5100900000,20,"P06762","Heme oxygenase 1"
"Cnn3",0.243818551134239,11.8402138689651,3.67116067354254,0.0553616189089401,0.824679209973739,873180,1172400,1366800,1271400,1647500,661070,1213800,1172500,1347600,15,54.8,36.434,0,195.91,2.7396e+10,58,"P37397","Calponin-3"
"Qki",-0.240840443093463,8.9118615838812,3.62572955267183,0.0568926230984725,0.831791221041556,111330,153900,135530,146100,162390,119580,187860,180510,206740,7,28.4,37.642,0,45.45,3280100000,16,"Q91XU1","Protein quaking"
