"gene_names","logFC","logCPM","LR","PValue","FDR","neg_log_pvalue","p_value","difference","tici_veh","protein_ids","protein_names","peptides","percent_sequence_coverage","mol_wt_kda","score","intensity","ibaq","tici_1","tici_2","tici_3","tici_4","tici_5","veh_1","veh_2","veh_3","veh_4","veh_5","ms_ms_count"
"Cpe",0.00231994432858625,13.8099453375019,7.25235314279482e-05,0.993205237461635,0.998239319257809,0.150104125,0.707776071,0.181606483,1.134146088,"D4A8X4;Q00493;P15087","Carboxypeptidase E",3,6.5,53.287,18.196,0,0,10.81995,10.76387,11.16066,10.77492,11.77335,10.3334,12.23844,10.36354,9.961294,11.48804,3
"Cpne4",-0.0357856388840837,13.8000899075969,0.0171212149813604,0.895895502881085,0.998239319257809,0.058085669,0.874811193,-0.11050663,0.92626273,"F1M0Z3;Q8BLR2","Copine-4",1,2.6,63.347,-2,0,0,9.521505,11.94342,10.0268,11.47446,11.15486,9.080667,10.88092,11.3448,11.2467,12.12049,0
"Creb5",-0.106397821685816,13.816372168812,0.153282843931307,0.69541768995013,0.998239319257809,1.363007744,0.043350315,-0.657525826,0.633964594,"D3ZBH0","Similar to cAMP responsive element binding protein 5 (Predicted)",1,1.2,62.843,-2,0,0,9.960382,10.51624,10.97551,11.12936,10.90291,10.73419,11.75953,11.59318,11.43239,11.25274,0
"Cst3",-0.029302629045519,14.426974005905,0.0187081467125843,0.891206489125188,0.998239319257809,0.401644176,0.396602844,-0.09875679,0.933837358,"P14841;P21460","Cystatin-C",8,53.6,15.437,40.203,1207100000,150890000,17.52709,17.75529,18.02734,17.85347,18.03393,17.81583,17.80765,18.09947,18.02257,17.94539,25
"Ctsd",-0.0471719382491938,14.0320812705859,0.0357538613675505,0.85002469692744,0.998239319257809,0.817291076,0.152303163,-0.237269783,0.848349246,"Q6P6T6;P24268;P18242","Cathepsin D;Cathepsin D 12 kDa light chain;Cathepsin D 9 kDa light chain;Cathepsin D 34 kDa heavy chain;Cathepsin D 30 kDa heavy chain;Cathepsin D",2,4.7,44.622,26.717,6642700,369040,13.42813,12.79561,12.93624,12.9909,12.88769,13.49745,13.15315,13.13999,12.96857,13.46575,2
"Cul9",0.0261939751663927,13.7553630343224,0.0088476395315969,0.925059991879594,0.998239319257809,0.288260746,0.5149194,0.34921608,1.273868255,"A0A0G2K652;D3ZZP8;Q80TT8","Cullin-9",1,0.6,280.56,-2,0,0,10.24897,11.77246,8.986081,11.24864,11.04836,9.863721,10.57314,10.55662,10.61275,9.95221,1
"Dsp",0.113397194800836,13.7462542993261,0.164435250507244,0.685105487117844,0.998239319257809,1.724076515,0.018876587,0.982574081,1.975987857,"F1LMV6;E9Q557","Desmoplakin",1,0.4,332.39,-2,20611000,124920,11.13424,11.09716,10.32769,11.16285,10.77304,9.020441,10.59567,10.52149,9.845952,9.598556,1
"Eno1;Eno3;Eno2",-0.03409160260355,14.1587790623364,0.0206130417714417,0.885838115169215,0.998239319257809,0.162997554,0.68707231,-0.129208183,0.91433314,"M0R5J4;P17182;P04764;P21550;P17183;P15429;P07323","Alpha-enolase;Beta-enolase;Gamma-enolase",2,8.8,47.074,6.8346,78142000,3551900,13.90699,14.63641,14.38301,14.68894,14.63575,13.63811,14.91132,14.41941,14.67332,15.25497,5
"Erich4",0.0584492299221046,13.7767898695537,0.0448078281259216,0.832357787401403,0.998239319257809,0.407832951,0.39099126,0.596695518,1.512248803,"Q3UNU4","Glutamate-rich protein 4",1,5.1,15.244,5.2315,0,0,9.484463,10.9446,11.00403,11.95227,11.472,8.413187,10.54105,11.28885,10.55608,11.07472,0
"Fbl",0.100439764526057,13.7653418345632,0.131030634879189,0.717365825738505,0.998239319257809,0.577922557,0.264287999,0.902125454,1.868817195,"P35550;P22509","rRNA 2-O-methyltransferase fibrillarin",1,2.1,34.306,-2,0,0,9.539775,11.96268,11.35381,10.4291,11.83475,7.882049,11.18382,10.97268,10.57532,9.995611,0
"Fryl",-0.0210202586380165,13.7967506378144,0.00589155130309249,0.938817303152826,0.998239319257809,0.000999734,0.997700675,0.002105331,1.00146037,"D3ZQY4","FRY-like transcription coactivator",1,0.4,349.35,-2,0,0,10.17449,11.42275,11.3557,9.716419,11.58434,8.820189,11.05962,12.06509,11.96937,10.32889,0
"Gsta5;Gsta2;Gsta1",0.0183495845902514,13.8858201299578,0.00481987050778334,0.944651101173253,0.998239319257809,0.529464396,0.295485112,0.324203682,1.251973202,"Q4FZZ3;P10648;P04903;P00502;P13745","Glutathione S-transferase;Glutathione S-transferase A2;Glutathione S-transferase alpha-2;Glutathione S-transferase alpha-1;Glutathione S-transferase alpha-1, N-terminally processed;Glutathione S-transferase A1;Glutathione S-transferase A1, N-terminally processed",1,3.2,25.569,-2,556610000,50601000,11.13311,12.13139,11.90591,11.94864,12.03148,10.70209,11.73343,11.88867,11.90086,11.30446,2
"Haus5",-0.0194634980956548,13.8183699459595,0.00513946615727445,0.942848558706531,0.998239319257809,0.011617641,0.973604022,0.014227486,1.009910529,"Q9D786","HAUS augmin-like complex subunit 5",1,1.8,69.571,-2,0,0,10.38932,10.60427,11.38554,11.67811,11.1968,11.26263,11.85237,10.05823,10.44165,11.56801,0
"Hectd1",0.0809875881093516,13.8067575806132,0.0880977419005654,0.766609556547234,0.998239319257809,0.951176011,0.111898429,0.784114265,1.722034761,"D3ZLS5;Q69ZR2","E3 ubiquitin-protein ligase HECTD1",1,0.3,289.03,1.4825,0,0,10.84744,11.7861,10.84488,12.37227,10.80522,9.441097,10.58403,10.52916,11.11236,11.06869,0
"Hyi",-0.0183910523666973,13.9341760389796,0.00503153685705195,0.943450819184783,0.998239319257809,0.035973691,0.920505333,0.024910927,1.017416874,"F1LZJ4;Q8R1F5","Hydroxypyruvate isomerase;Putative hydroxypyruvate isomerase",1,2.5,30.589,-2,124210000,10351000,11.62861,12.33162,12.09464,12.24822,12.42864,11.64439,12.44524,12.28961,12.56901,11.65891,4
"Jhy",0.0260552480874057,13.8186591261936,0.00921067748815513,0.923542592574927,0.998239319257809,0.306287832,0.493983187,0.36667099,1.289374172,"E9Q793","Jhy protein",1,1.6,87.415,-2,0,0,11.13042,10.52195,12.5952,11.4491,10.45154,9.712148,11.02594,10.81832,11.77969,10.97877,0
"Ktn1",0.000869953158134305,13.8112833746143,1.02090025305424e-05,0.997450641109968,0.998239319257809,0.250063812,0.562258705,0.170645142,1.125561699,"D4A4Z9;Q61595","Kinectin",1,0.7,151.79,-2,0,0,11.11487,11.33093,11.46615,10.8529,10.56066,10.99581,11.37249,11.27019,10.7517,10.08209,0
"L1td1",0.0282780194049476,13.776360792422,0.0104871406942401,0.918433832904001,0.998239319257809,0.268324576,0.539107562,0.370861053,1.293124385,"Q587J6","LINE-1 type transposase domain-containing protein 1",1,1.2,88.188,1.4144,0,0,10.46998,10.87442,11.14183,11.50644,10.28126,8.484324,11.1434,10.97262,10.33334,11.48595,1
"Lcn2",-0.00524320310973964,14.1574943344665,0.000487073451539866,0.982392324072752,0.998239319257809,0.181740088,0.658051544,0.163364601,1.119895875,"P30152","Neutrophil gelatinase-associated lipocalin",1,6.6,22.475,8.8897,42366000,8473300,15.4327,14.44782,14.36224,14.24583,14.42044,15.49998,14.43169,13.9698,14.00024,14.19049,3
"Lekr1",-0.0458060777678889,13.8289960276045,0.028708372492114,0.865454139722051,0.998239319257809,0.137387391,0.728807123,-0.191317368,0.875805632,"F1M8S9","Leucine, glutamate and lysine-rich 1",1,1,80.866,1.3442,0,0,9.351732,11.01887,11.80881,11.43215,11.61074,10.13173,11.92331,11.38416,11.31608,11.42362,0
"LOC498750",-0.092401248729295,14.0142764018584,0.135254037394778,0.71304548586834,0.998239319257809,0.316551457,0.482445814,-0.643469429,0.640171596,"Q7TP28;Q99LU8","Uncharacterized protein C6orf62 homolog",1,3.5,27.083,-2,14306000,1021900,11.91893,12.3464,11.99184,14.98422,11.85401,10.92269,14.23891,14.10528,14.17644,12.86943,2
"LOC681364",-0.0145467257803681,13.8045199412717,0.00283913505665373,0.957505999070793,0.998239319257809,0.034537327,0.923554807,0.051689148,1.036477751,"F1M337","Similar to RIKEN cDNA 5031410I06",1,3.1,30.143,-2,0,0,10.14433,11.1782,11.06161,11.47484,10.8656,9.504075,12.43933,10.745,11.12446,10.65327,0
"Lyz2;Lyz1",-0.0567626981415238,14.1225012233976,0.0555548640644503,0.81366485410315,0.998239319257809,0.143087382,0.719304236,-0.349235535,0.784999949,"F1M8E9;A0A0G2K5X1;Q05820;P00697","Lysozyme;Putative lysozyme C-2;Lysozyme C-1",2,9.5,16.718,3.5942,490280000,70040000,16.47554,13.11727,13.42741,13.41084,13.21946,16.95257,14.17649,13.62581,13.26673,13.37509,4
"Mad1l1",0.067539248520516,13.829986219687,0.0624289416527117,0.802697285832785,0.998239319257809,1.331883583,0.046571091,0.694057274,1.617826922,"D3ZIV3","Mitotic arrest deficient 1-like 1",1,1.3,83.328,-2,0,0,11.56187,11.43244,11.00417,11.86294,11.61943,10.52776,11.18489,10.59577,11.58354,10.11861,0
"Mcm6",0.0655418376095655,13.7944881233438,0.057144411905061,0.811067607702948,0.998239319257809,1.058115597,0.087475091,0.659173203,1.57917735,"A9CMB8;Q62724;P97311","DNA helicase;DNA replication licensing factor MCM6",1,1.3,92.814,-2,0,0,10.42963,11.56943,10.67818,11.55803,11.56042,10.54915,11.36032,10.18436,10.31067,10.09531,0
"Mtus1;Atip3b",0.0769032366876152,13.7689606566909,0.0770652519569134,0.781314603549893,0.998239319257809,0.618132342,0.240917117,0.730006981,1.658647117,"D2XRB8;B1A2U8;Q6IMY1-2;Q6IMY1;Q5HZI1","Microtubule-associated tumor suppressor 1 homolog",1,1.7,59.146,-2,0,0,9.623811,10.93385,11.02933,12.19122,11.06949,8.945687,10.50476,9.79697,11.36401,10.58624,0
"N/A",0.0317473346969711,13.9273247529245,0.0149092492721852,0.902817100095483,0.998239319257809,0.810063602,0.154858981,0.448426628,1.364551295,"A0A0G2K4Q2","Uncharacterized protein",1,4.4,20.72,-2,386190000,29707000,12.06331,12.37456,12.0532,12.65465,12.30998,10.81602,12.15812,12.21566,11.88548,12.13829,1
"N/A.1",0.0110246720973798,13.7925266804563,0.00161500363566386,0.967943955790021,0.998239319257809,0.188077705,0.648518389,0.245020866,1.185109912,"A0A0G2K414","DUF3496 domain-containing protein",1,2.6,62.553,-2,0,0,11.05472,10.85946,10.16392,11.54157,11.05347,9.162352,10.53056,10.42002,11.5782,11.75692,0
"Ncan",-0.0778930388941261,14.0776669162912,0.101014250300136,0.750615872372637,0.998239319257809,1.376097026,0.042063264,-0.538350868,0.688557543,"G3V8R2;P55067;P55066;A0A0G2K4R4","Neurocan core protein;150 kDa adult core glycoprotein;Neurocan core protein**",2,1.7,136.25,6.0228,149530000,3647100,12.93816,13.59676,13.50099,13.36749,13.3104,13.22123,13.99415,14.37182,13.75599,14.06236,4
"Oaf",-0.0380732062997622,13.7843348174941,0.0191365295480882,0.889975787316664,0.998239319257809,0.330309136,0.46740232,-0.126351547,0.916145377,"Q8QZR4","Out at first protein homolog",1,3.5,31.524,2.3152,0,0,10.74844,10.66956,10.4317,10.52274,11.00956,10.46614,11.00036,10.7278,11.19953,10.61993,0
"Olr752",-0.0723674371429586,13.814414820791,0.070817506708231,0.790150189468199,0.998239319257809,0.384074135,0.412977,-0.39403019,0.761000766,"D3ZLF7","Olfactory receptor",1,2.3,35.041,-2,0,0,10.40862,10.77387,10.49492,10.92667,11.45076,9.810389,12.34557,10.92041,11.41812,11.5305,0
"Oxr1",0.0489165380643834,13.7830818272407,0.0315460190852302,0.859027707401326,0.998239319257809,0.464227314,0.343378173,0.528099251,1.442028073,"A0A0G2KAL4;A0A0G2JYS1;A0A0G2JZ50;A0A0G2K7Y2;Q4V8B0;Q4KMM3","Oxidation resistance protein 1",1,1.7,84.125,-2,0,0,10.21549,11.25539,11.70952,10.32598,11.45645,8.945224,11.5144,10.30237,10.68802,10.87232,0
"Pgm2",0.034180432224236,13.7892504565161,0.015480803537886,0.900981252398018,0.998239319257809,0.452456293,0.352812292,0.419397736,1.337369143,"F7FLB2","Pgm2 protein",1,1.6,69.057,1.765,0,0,11.01874,11.0126,10.45314,11.99786,10.48144,9.703072,11.27899,10.80607,9.931209,11.14745,0
"Pi4ka",0.0381991166088065,13.8195939209078,0.0198104527057091,0.888067752076149,0.998239319257809,0.413575982,0.385854898,0.461017799,1.376512584,"A0A140TAJ5;E9Q3L2;O08662","Phosphatidylinositol 4-kinase alpha",1,0.6,231.7,-2,0,0,11.30959,10.91369,11.39817,11.44008,11.36484,8.879199,11.37587,11.15324,11.12314,11.58982,0
"Pla2g7",-0.00804352091591579,13.8014031468094,0.000865878378755458,0.976524987164808,0.998239319257809,0.070014817,0.851108999,0.10121212,1.072674321,"Q5M7T7","Platelet-activating factor acetylhydrolase",1,1.8,49.49,8.0485,0,0,9.653193,11.39801,11.56401,11.44842,10.64535,9.40206,10.88268,11.06175,11.5695,11.28694,2
"Pot1b",-0.0280026489599195,13.7986484713344,0.0104716342251646,0.918493947439269,0.998239319257809,0.032938015,0.926962115,-0.051081848,0.965212264,"M0R4T5","Protection of telomeres protein 1",1,2,71.673,1.3259,0,0,9.299204,10.94202,11.17125,12.16119,10.63163,10.24849,11.11188,11.82488,10.42938,10.84608,0
"Ppan",0.0220043687307437,13.7842066635026,0.00639047125753575,0.93628463964283,0.998239319257809,0.424231751,0.376502834,0.326017189,1.253547956,"Q5FVQ2","Peter pan homolog",1,1.9,52.538,-2,0,0,9.907434,11.57443,11.31442,10.84322,10.86776,10.38676,10.4479,10.05307,10.73753,11.25192,0
"Ptprz1",-0.0459610932833966,13.9799663887533,0.0325804822197222,0.856759549435432,0.998239319257809,0.303831493,0.496785038,-0.217061996,0.86031566,"F1LMY3;Q62656-2;Q62656-3;Q62656","Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase zeta",1,0.6,255.37,2.5134,8318900,95619,11.78784,12.60626,12.71309,12.54201,12.75657,11.84669,12.54201,12.90146,12.86018,13.34075,2
"R3hcc1l",0.0376741698936686,13.759412855587,0.018360860234149,0.892214784024783,0.998239319257809,0.372931889,0.423709412,0.435064316,1.351971103,"A0A096MJS5;A0A0G2JZM0",NA,1,1.5,62.798,-2,0,0,9.790846,11.00897,11.62045,10.71101,10.56336,8.921885,10.71274,11.30476,9.806659,10.77327,0
"Serpina5",0.0287854883312665,13.8002583351294,0.0110774143057483,0.916177995364106,0.998239319257809,0.409969569,0.389072407,0.382032776,1.303176755,"P70458","Plasma serine protease inhibitor",1,2,45.599,-2,0,0,11.37748,10.58283,11.15136,11.39447,10.85378,9.262779,10.79281,10.86073,11.64563,10.88779,0
"Serpine1",0.128625904728865,14.2007552827143,0.302670705392482,0.582212952466188,0.998239319257809,3.557545714,0.000276984,1.571310616,2.971745596,"F1LM16;P20961","Plasminogen activator inhibitor 1",3,6.7,45.041,5.6696,56592000,2572400,15.94535,15.69365,15.95701,15.68838,15.65584,13.83369,14.00274,13.92389,14.13922,15.18415,3
"Serping1",0.00759566681230767,14.257824943951,0.00110448222408877,0.973488183351598,0.998239319257809,0.913081001,0.12215718,0.317511559,1.246179214,"Q6P734","Plasma protease C1 inhibitor",3,7.5,55.611,24.581,204170000,8167000,16.09173,15.92687,15.87934,15.55447,15.7836,16.09101,15.38785,15.19754,15.30082,15.67124,6
"Slc25a31",-0.039422542529326,13.8167971733203,0.0210580460010837,0.884620938326842,0.998239319257809,0.123265697,0.752894809,-0.140105438,0.907452832,"A0A1W2Q605;D3ZB81","ADP/ATP translocase",1,6.6,13.534,-2,0,0,10.35437,10.78549,11.12408,11.25499,11.27821,9.63591,11.13306,11.24591,11.52206,11.96073,0
"Sparc",-0.0328546408334399,14.2345219387187,0.0202984630619254,0.886706661533724,0.998239319257809,0.386267038,0.410896992,-0.123634148,0.917872616,"P16975;P07214","SPARC",3,12.6,34.296,6.0983,351480000,27037000,14.91515,15.47372,15.409,15.37197,15.54623,15.13824,15.43683,15.60105,15.51805,15.64007,8
"Sparcl1",-0.0546314455293814,14.3099822454902,0.0594727298091111,0.807331261514382,0.998239319257809,1.7215172,0.018988156,-0.379472351,0.768718689,"G3V7X5;P24054;P70663","SPARC-like protein 1",5,10.4,70.553,49.85,237080000,6585600,15.79887,16.24583,16.26906,16.19964,16.23608,16.30172,16.46954,16.87746,16.51423,16.48389,12
"Syne3",-0.00120685309964312,13.8439569689938,2.01673693716042e-05,0.996416864530924,0.998239319257809,0.159497454,0.69263199,0.158852959,1.116399171,"Q4FZC9","Nesprin-3",1,1.2,112.03,1.5277,0,0,10.84113,12.66871,11.20704,11.06934,10.99638,11.15955,11.56975,11.26908,11.52153,10.46843,0
"Tbcc",-0.0333025219773672,13.8050521266475,0.0148867453893657,0.902890107775799,0.998239319257809,0.082568855,0.826858404,-0.091926765,0.938268824,"Q8VCN9","Tubulin-specific chaperone C",1,3.2,38.124,-2,0,0,10.73412,10.544,11.59513,10.68713,10.82899,10.18006,10.26035,11.33896,12.13543,10.93421,0
"Tcn2",-0.0502613106599172,13.8111652180164,0.0340744533286955,0.8535485366736,0.998239319257809,0.976952261,0.10545028,-0.222895813,0.856843831,"G3V6K1;Q9R0D6","Transcobalamin-2",1,5.6,47.516,8.3517,4986900,207790,10.97503,10.8849,10.92305,10.52458,11.02879,11.38524,10.99304,10.99683,10.91721,11.15849,1
"Tf",-0.0285245271605943,14.4451677692969,0.0179744480829032,0.893348156268694,0.998239319257809,0.090908079,0.81113272,-0.090262222,0.939351998,"P12346;A0A0G2QC06;P12346-2","Serotransferrin",16,23.8,76.394,323.31,1.7159e+10,451560000,18.9607,17.92868,18.07871,17.75999,17.7523,19.28044,17.95556,18.20559,17.85406,17.63605,51
"Trmt2a",-0.00060973764104459,13.7745651996181,4.86947129552107e-06,0.998239319257809,0.998239319257809,0.08735733,0.817791647,0.154522705,1.11305332,"Q8BNV1","tRNA (uracil-5-)-methyltransferase homolog A",1,1.6,63.301,-2,0,0,10.62406,11.01713,10.64492,10.3412,11.02699,8.111338,11.20448,11.69653,11.15954,10.70979,0
"Tuba1c;Tuba1b;Tuba1a",-0.034191395478239,14.2421467393144,0.0221133133660965,0.881786053929938,0.998239319257809,0.121667678,0.755670245,-0.138833237,0.908253398,"A0A0H2UHM7;Q6AYZ1;P68373;Q6P9V9;P68370;P68369;P05213","Tubulin alpha-1C chain;Tubulin alpha-1B chain;Tubulin alpha-1A chain",3,9.2,49.806,27.771,182620000,8696000,14.73782,15.65308,15.40208,16.0083,15.33795,14.38333,16.64011,15.17883,15.90892,15.7222,10
"Usp13",0.0672823129458531,13.8081148506722,0.0608800468156081,0.805110358796301,0.998239319257809,0.649447001,0.224157358,0.679870796,1.601996278,"D3ZDI9;Q5BKP2","Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 13",1,1,96.747,-2,0,0,11.2771,11.39375,11.47944,11.2086,11.09731,9.308072,11.90392,10.70387,11.53334,9.607632,0
"Vim",-0.035152654273246,13.9183126685863,0.01815315936414,0.892822458334026,0.998239319257809,0.089145724,0.814430963,-0.11605587,0.922706759,"G3V8C3;P31000","Vimentin",1,3,53.7,2.2425,29357000,863430,11.06232,12.22691,11.69895,12.49809,12.12024,10.72174,13.06749,11.70124,12.68464,12.01167,2
"Wdfy4",0.0902261979304133,13.7869209983799,0.107603778959801,0.742888866762788,0.998239319257809,0.524147804,0.299124645,0.841186428,1.79152283,"E9Q2M9;D4A748","WDFY family member 4",1,0.3,354.33,-2,0,0,11.68647,11.49883,11.8781,11.44163,9.410104,7.926621,10.94341,11.10022,10.639,11.09995,0
"Xpo1",0.00192806773296316,13.8083832403302,5.00294252959443e-05,0.994356491321111,0.998239319257809,0.173223854,0.671082859,0.17836628,1.131601724,"Q80U96;Q6P5F9","Exportin-1",1,0.9,123.04,3.5184,0,0,10.78298,11.18908,10.47584,12.2236,10.54298,10.01012,11.4204,10.97137,10.6841,11.23666,0
"Zcchc11",0.0855573150856283,13.8269010926009,0.0999121747427349,0.751935053240739,0.998239319257809,1.213437348,0.061173405,0.832611084,1.780905647,"A0A0G2JZ04;B2RX14","Terminal uridylyltransferase 4",1,0.8,163.53,-2,0,0,11.20063,12.14548,10.59462,12.34729,11.39878,9.951983,10.92383,10.88461,10.59058,11.17273,0
