TICI1,TICI2,TICI3,TICI4,TICI5,VEH1,VEH3,VEH4,VEH5,peptide_no,percent_sequence_coverage,mol_weight,q_value,score,intensity,msms_count,protein_ids,protein_names,gene_names
229730,264880,270180,301380,349000,223390,302510,313220,346590,12,35,49.694,0,65.93,6317500000,30,B3GNI6,Septin-11,11-Sep
241120,172040,226290,209400,228810,254090,214110,208600,218660,8,38.7,39.961,0,61.225,1417700000,17,Q02589,[Protein ADP-ribosylarginine] hydrolase,Adprh
5952.5,7891.4,8381.7,8370.9,10156,7176.1,7738.8,8182.5,8086.2,1,1.7,61.207,0,2.9317,22559000,1,O88483,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Pdp1
317530,341580,355970,415600,435870,325240,377460,419320,446910,9,75.5,10.902,0,30.939,30949000000,44,P26772,"10 kDa heat shock protein, mitochondrial",Hspe1
422330,563050,441350,565850,614940,373950,501570,568310,613400,13,62.6,28.054,0,94.095,15242000000,33,P35213,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",Ywhab
958520,1166000,1059400,1259600,1358300,882020,1160000,1301900,1340000,20,78.4,29.174,0,217.42,1.22E+11,97,P62260,14-3-3 protein epsilon,Ywhae
354690,401990,361640,399980,440080,282380,336070,342480,378960,11,46.7,28.211,0,70.941,10708000000,28,P68511,14-3-3 protein eta,Ywhah
456700,487710,472440,510410,557960,422830,431060,435220,479650,12,55.9,28.302,0,103.32,10324000000,35,P61983,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",Ywhag
602520,660140,647510,690420,806610,607590,720060,741010,789590,14,62.4,27.778,0,138.37,19370000000,40,P68255,14-3-3 protein theta,Ywhaq
1142800,1661200,1283500,1444300,1577000,1046700,1422400,1495200,1599000,17,71,27.771,0,230.05,68089000000,71,P63102,14-3-3 protein zeta/delta,Ywhaz
44761,34233,47207,40866,46636,48691,40066,40067,44282,3,32.1,17.822,0,21.867,1304900000,9,Q923V8,15 kDa selenoprotein,15-Sep
23168,19139,27621,21389,27586,26925,25194,21626,26422,3,5.4,139.45,0,8.5963,281990000,6,Q99JE6,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",Plcb3
142570,135320,164860,166260,179830,147070,175650,170160,178000,11,21.7,85.961,0,75.908,3267400000,25,P10688,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",Plcd1
30862,29192,36079,29660,37574,32631,27848,28029,32497,3,5,148.55,0,36.289,351270000,5,P10686,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",Plcg1
145500,128520,166230,158960,162270,129300,159050,148140,143450,7,18.6,47.268,0,30.282,2141600000,16,P13233,"2,3-cyclic-nucleotide 3-phosphodiesterase",Cnp
110440,156390,145470,170850,164810,114550,149840,173760,166600,6,23.6,36.132,0,54.66,5515700000,25,Q64591,"2,4-dienoyl-CoA reductase, mitochondrial",Decr1
5316.3,5110.6,6422.7,5720.2,7272.3,4560.3,4853,5018.1,6310.6,1,3.5,67.176,0,7.3251,155590000,3,Q6AXQ5,"2,5-phosphodiesterase 12",Pde12
42808,77715,66019,73310,87897,40770,56703,57074,64673,3,9.9,48.226,0,19.616,708370000,10,Q63688,25-hydroxycholesterol 7-alpha-hydroxylase,Cyp7b1
126240,120200,128790,129500,134670,39677,38606,39575,47465,4,18.7,41.665,0,31.941,1986000000,13,Q05961,2-5-oligoadenylate synthase 1A,Oas1a
124780,97386,125300,106750,103260,45962,39947,39891,46027,4,10.4,58.968,0,26.263,1337200000,10,G3V645,2-5-oligoadenylate synthase-like protein 1,Oasl
80657,62825,91232,72831,88393,40468,35471,33498,39330,3,9.2,59.405,0,13.64,540020000,6,Q5MYT9,2-5-oligoadenylate synthase-like protein 2,Oasl2
249230,222140,267410,257250,291260,269680,269970,261740,293620,14,50.2,49.184,0,110.94,4898000000,36,P62193,26S protease regulatory subunit 4,Psmc1
485110,490910,537760,555580,637780,479450,543830,569380,621380,15,53.5,49.16,0,96.479,6797500000,56,Q63569,26S protease regulatory subunit 6A,Psmc3
289870,270830,313280,315110,351360,309070,311040,315690,348190,9,35.6,47.408,0,78.751,5677500000,33,Q63570,26S protease regulatory subunit 6B,Psmc4
292850,295820,319340,326940,375920,298920,337060,349670,376200,8,25.6,48.574,0,67.185,3809000000,27,Q63347,26S protease regulatory subunit 7,Psmc2
237360,221250,265240,256440,284090,249230,239040,239950,254450,9,29.3,45.626,0,50.405,5464200000,28,P62198,26S protease regulatory subunit 8,Psmc5
230270,231860,252720,258530,300750,243200,266920,279700,298370,11,18,105.75,0,94.73,5248000000,29,O88761,26S proteasome non-ATPase regulatory subunit 1,Psmd1
263610,273510,296650,320160,364030,268580,312430,326040,360300,12,32.5,47.463,0,43.404,6934600000,34,F1LMZ8,26S proteasome non-ATPase regulatory subunit 11,Psmd11
342510,314320,365570,358770,402370,358420,356900,360480,382810,21,32.3,100.19,0,126.74,5890700000,43,Q4FZT9,26S proteasome non-ATPase regulatory subunit 2,Psmd2
30102,21187,31422,22768,28704,40963,26512,23385,27223,2,11,20.605,0,13.799,1094300000,7,Q62785,28 kDa heat- and acid-stable phosphoprotein,Pdap1
127530,140680,144910,158020,166840,136230,155230,158500,176790,10,14.7,116.29,0,48.018,1699300000,19,Q5XI78,"2-oxoglutarate dehydrogenase, mitochondrial",Ogdh
2664.7,2511.4,3177.1,3191.2,3846.3,3426.5,2903,2475.1,3520.6,1,3.6,50.164,0,3.3961,72937000,1,P11960,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",Bckdha
91734,108180,108900,129170,136380,98422,118490,132030,134270,5,27.2,42.823,0,35.505,1710700000,10,P35738,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",Bckdhb
56353,43439,60670,52662,61136,56930,51202,47811,50774,3,14.9,33.174,0,20.381,703720000,7,Q9Z1N4,"3(2),5-bisphosphate nucleotidase 1",Bpnt1
26761,30673,28991,30961,30846,28993,30846,30360,36299,1,7.8,24.397,0,2.3536,90451000,2,P83565,"39S ribosomal protein L40, mitochondrial",Mrpl40
5540,5328.2,6508.3,7397.1,8082.9,6326.8,6189.9,7139.3,7575.9,1,11.2,15.192,0,3.0437,61704000,1,Q5BJX1,"39S ribosomal protein L41, mitochondrial",Mrpl41
88671,89429,100570,97777,107450,97011,103850,101760,100410,7,40.6,27.245,0,54.925,2678400000,15,O70351,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10
96984,114080,126020,141160,150810,96085,128490,148040,149290,5,22.4,35.302,0,55.292,1992900000,14,P29266,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",Hibadh
39471,43330,53745,51933,57169,41801,51836,53748,56489,4,19.7,43.024,0,22.125,827350000,10,Q5XIE6,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",Hibch
249460,313940,280680,288860,369540,242730,266840,272210,353690,10,35,44.839,0,88.363,7633100000,34,P21775;P07871,"3-ketoacyl-CoA thiolase A, peroxisomal;3-ketoacyl-CoA thiolase B, peroxisomal",Acaa1a;Acaa1b
63230,76300,80416,85829,97251,70360,84878,90419,100290,7,23.4,41.87,0,26.092,2326600000,15,P13437,"3-ketoacyl-CoA thiolase, mitochondrial",Acaa2
185260,214890,208740,232020,259310,171310,232680,235460,248460,6,31.6,32.94,0,30.333,1491800000,15,P97532,3-mercaptopyruvate sulfurtransferase,Mpst
181670,167850,182930,190230,217270,180090,197450,191040,199030,12,64.2,18.916,0,29.226,12548000000,28,P63326,40S ribosomal protein S10,Rps10
202490,185700,200920,229130,243980,191160,221220,227200,236070,8,43.7,18.431,0,38.213,12485000000,24,P62282,40S ribosomal protein S11,Rps11
208070,186530,199230,220500,247130,183290,207340,225540,236320,7,43.9,14.525,0,23.482,11873000000,24,P63324,40S ribosomal protein S12,Rps12
210680,157370,209900,181710,211850,229210,194820,185470,196580,11,57.6,17.222,0,39.202,21973000000,37,P62278,40S ribosomal protein S13,Rps13
145660,121240,150190,140070,158270,152710,143600,143370,145600,8,45.7,16.259,0,91.001,13552000000,23,P13471,40S ribosomal protein S14,Rps14
105200,109640,116100,128330,138920,111620,112210,126700,131980,4,45.5,17.04,0,18.555,6452000000,17,P62845,40S ribosomal protein S15,Rps15
155640,149020,159570,173160,189670,149690,163630,170120,177590,7,46.9,14.839,0,18.367,6094800000,19,P62246,40S ribosomal protein S15a,Rps15a
204740,146740,199990,180170,188830,228610,172900,172540,180650,9,56.2,16.445,0,36.845,15246000000,31,P62250,40S ribosomal protein S16,Rps16
572520,477470,563350,559470,645990,554170,581980,579000,594630,6,55.6,15.51,0,58.341,14252000000,29,P04644,40S ribosomal protein S17,Rps17
237910,234340,243790,256780,295760,234830,250740,249950,269020,10,53.3,17.718,0,40.657,13246000000,37,P62271,40S ribosomal protein S18,Rps18
265310,230640,271840,267230,300850,274880,262650,268810,272660,11,53.1,16.085,0,94.51,20698000000,40,P17074,40S ribosomal protein S19,Rps19
497540,368350,497200,457810,519400,531310,495050,459250,484690,13,43.7,31.231,0,84.241,34273000000,54,P27952,40S ribosomal protein S2,Rps2
222900,204130,235280,246200,275800,216450,255370,247490,269380,7,37,13.373,0,28.719,14875000000,31,P60868,40S ribosomal protein S20,Rps20
76332,58861,75716,68189,80314,81833,67048,69658,79180,4,48.2,9.1272,0,18.348,7293800000,14,P05765,40S ribosomal protein S21,Rps21
256090,208710,259930,244670,288260,270710,268570,254350,275830,7,49,15.807,0,46.12,10807000000,29,P62268,40S ribosomal protein S23,Rps23
182290,195100,200330,222770,253890,173010,225280,228080,239160,6,39.8,15.423,0,20.775,9902900000,29,P62850,40S ribosomal protein S24,Rps24
148530,152980,155500,179610,197340,146370,171710,178160,187510,5,36.8,13.742,0,8.9156,9099000000,18,P62853,40S ribosomal protein S25,Rps25
59070,56259,65522,66695,71025,64193,63528,67671,69001,4,35.7,13.015,0,12.682,4307700000,11,P62856,40S ribosomal protein S26,Rps26
110090,109880,118010,126330,139560,100460,117050,123370,130680,4,39.3,9.461,0,10.5,4954100000,15,Q71TY3,40S ribosomal protein S27,Rps27
8949.5,4312.5,4029.2,4292.4,4186,6532.8,3824.5,3720.7,4262.3,4,39.3,9.4771,0,3.2006,284920000,1,P24051,40S ribosomal protein S27-like,Rps27l
138460,111320,142390,124260,144810,164820,128190,129490,140790,6,56.5,7.8409,0,57.304,14040000000,20,P62859,40S ribosomal protein S28,Rps28
68134,53514,67901,64982,71678,71772,64780,62616,67881,4,48.2,6.6767,0,5.5892,3775000000,10,P62275,40S ribosomal protein S29,Rps29
426860,377450,431100,426900,462260,445000,417410,429770,442240,19,73.7,26.674,0,67.022,22566000000,60,P62909,40S ribosomal protein S3,Rps3
109590,74880,106730,82510,105600,118010,95372,88495,93369,4,33.9,6.6478,0,7.7025,3452200000,17,P62864,40S ribosomal protein S30,Fau
361660,316200,364340,354140,418060,373130,370800,372080,385700,17,53,29.945,0,64.444,29493000000,54,P49242,40S ribosomal protein S3a;40S ribosomal protein S3b,Rps3a
525260,507470,547420,569960,657650,524020,580690,584110,610720,20,63.5,29.597,0,64.705,29710000000,73,P62703,"40S ribosomal protein S4, X isoform",Rps4x
159730,131190,165810,167370,175940,174050,170810,153690,172950,8,32.8,22.878,0,19.224,7099800000,21,P24050,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",Rps5
312750,309440,308070,347570,390610,298780,330910,340620,376870,11,41.4,28.68,0,80.352,17003000000,40,P62755,40S ribosomal protein S6,Rps6
145670,139460,152600,168370,190740,139750,170420,175390,178350,8,27.8,22.127,0,21.444,9536300000,23,P62083,40S ribosomal protein S7,Rps7
329640,312720,342110,358660,394640,335940,358690,359770,376280,13,59.1,24.205,0,66.94,16794000000,39,P62243,40S ribosomal protein S8,Rps8
294300,286650,290570,323290,340880,295170,319820,311280,332930,14,53.1,22.591,0,25.952,13409000000,40,P29314,40S ribosomal protein S9,Rps9
161890,148930,169730,163730,196020,179380,172010,171200,183640,12,58.3,32.824,0,103.17,19958000000,37,P38983,40S ribosomal protein SA,Rpsa
350950,420360,479360,486530,532460,355260,484970,509200,501100,12,39.8,56.455,0,135.64,6900500000,40,P50554,"4-aminobutyrate aminotransferase, mitochondrial;4-aminobutyrate aminotransferase, brain isoform;4-aminobutyrate aminotransferase, liver isoform",Abat
470460,508200,592730,587420,600450,484250,590260,562260,582240,16,44.8,58.071,0,125.61,18554000000,60,Q794F9,4F2 cell-surface antigen heavy chain,Slc3a2
361410,342220,403150,399670,447330,375090,398190,420370,429820,10,31.2,53.652,0,106.38,5863100000,37,Q9JLJ3,4-trimethylaminobutyraldehyde dehydrogenase,Aldh9a1
13961,11885,14953,14192,14280,15759,14452,14770,15821,1,3.3,63.652,0,5.2726,343000000,3,Q6Q0N3,5-nucleotidase domain-containing protein 2,Nt5dc2
15506,5675.6,17187,7597.8,9977.3,26019,11413,8981.3,10588,1,18.3,6.9142,0,2.4975,3889100000,8,D3Z9R8,6.8 kDa mitochondrial proteolipid,Mp68
1253600,1510800,1483300,1861100,1921200,1236300,1656100,1865500,1952100,36,67.4,60.955,0,318.94,77048000000,169,P63039,"60 kDa heat shock protein, mitochondrial",Hspd1
580700,541380,602340,610070,671770,571550,661630,651660,652060,9,36,34.215,0,115.18,13955000000,34,P19945,60S acidic ribosomal protein P0,Rplp0
62872,45694,59502,53796,62170,59620,54301,52051,56419,1,14,11.498,0,8.8353,9693200000,7,P19944,60S acidic ribosomal protein P1,Rplp1
379200,410670,394030,444470,509560,353110,417530,452060,479010,5,76.5,11.692,0,87.14,21269000000,29,P02401,60S acidic ribosomal protein P2,Rplp2
330870,295370,331100,327820,377390,356600,328640,333340,350950,11,47.2,24.604,0,104.42,21448000000,46,Q6PDV7,60S ribosomal protein L10,Rpl10
138870,114420,131810,129250,143650,149040,136520,132920,136550,8,37.8,24.831,0,21.89,11018000000,22,P62907,60S ribosomal protein L10a,Rpl10a
206850,219310,215090,241180,270980,196280,238210,258290,254340,8,48.9,20.252,0,33.573,6462000000,22,P62914,60S ribosomal protein L11,Rpl11
207510,187420,202710,219670,234490,202420,214330,217480,221760,7,41.2,17.845,0,85.814,15915000000,27,P23358,60S ribosomal protein L12,Rpl12
148690,149600,148680,165720,188270,146830,159540,171940,182650,9,36.5,24.309,0,36.6,15325000000,27,P41123,60S ribosomal protein L13,Rpl13
134430,118650,138230,138860,154180,147520,139810,136100,144890,9,33,23.476,0,17.72,13387000000,27,P35427,60S ribosomal protein L13a,Rpl13a
207120,159300,197920,187390,217140,210280,200990,193190,202990,8,30.8,23.339,0,41.04,20679000000,30,Q63507,60S ribosomal protein L14,Rpl14
197000,155300,191760,182590,203250,210640,169490,183380,191210,7,31.9,24.146,0,23.343,7938400000,25,P61314,60S ribosomal protein L15,Rpl15
381140,355820,382750,414130,473240,377570,403060,422990,441780,7,39.7,21.397,0,45.482,12787000000,35,P24049,60S ribosomal protein L17,Rpl17
91106,58089,87133,73403,82302,102420,80437,71646,80080,6,26.1,21.658,0,16.972,8907700000,14,P12001,60S ribosomal protein L18,Rpl18
200700,177810,215200,210110,245090,214830,232380,215200,231790,10,45.5,20.732,0,41.358,11289000000,31,P62718,60S ribosomal protein L18a,Rpl18a
323480,230740,314910,269730,321140,347750,297410,289520,296890,10,34.7,23.466,0,39.746,15382000000,42,P84100,60S ribosomal protein L19,Rpl19
246010,244940,252330,275930,314370,240390,262160,278090,291450,8,42.5,18.465,0,27.431,15246000000,31,P20280,60S ribosomal protein L21,Rpl21
93633,86794,93535,103810,115570,92198,96082,105940,111330,2,30.5,14.789,0,21.967,8069400000,12,P47198,60S ribosomal protein L22,Rpl22
381080,362880,383870,407780,458410,371180,396150,409380,413740,8,57.9,14.865,0,52.078,17989000000,34,P62832,60S ribosomal protein L23,Rpl23
187030,163250,185970,192520,216980,185950,193280,203360,201690,7,37.2,17.695,0,15.292,15528000000,27,P62752,60S ribosomal protein L23a,Rpl23a
337700,295180,333180,343570,395660,323530,351620,351010,363390,10,45.9,17.779,0,33.46,15880000000,34,P83732,60S ribosomal protein L24,Rpl24
119190,129180,119500,145970,162460,110430,135090,142400,152570,6,29,17.277,0,12.307,9124800000,20,P12749,60S ribosomal protein L26,Rpl26
190880,167290,195430,202110,223620,189440,200340,200320,211750,7,51.5,15.798,0,26.01,14293000000,28,P61354,60S ribosomal protein L27,Rpl27
58155,36056,55278,45024,53254,63894,48782,45886,50089,6,40.5,16.618,0,14.977,12462000000,20,P18445,60S ribosomal protein L27a,Rpl27a
129000,110650,130470,123880,145520,137500,129410,132770,131130,7,43.1,15.848,0,19.373,10209000000,17,P17702,60S ribosomal protein L28,Rpl28
120880,93311,124830,111320,127750,130100,119060,115310,122510,5,19.2,17.325,0,8.8851,13295000000,18,P25886,60S ribosomal protein L29,Rpl29
508310,472560,516500,541930,608420,503970,552940,558090,581210,21,48.1,46.135,0,72.847,34349000000,63,P21531,60S ribosomal protein L3,Rpl3
205310,204790,234240,236360,287080,209410,275470,262110,272750,6,58.3,12.784,0,30.088,9107100000,21,P62890,60S ribosomal protein L30,Rpl30
97241,96848,103560,109770,121610,97393,112810,110380,119600,8,47.2,14.463,0,28.326,10227000000,24,P62902,60S ribosomal protein L31,Rpl31
169280,134630,170760,158940,180210,174840,167470,164390,169950,7,45.2,15.86,0,20.015,14069000000,24,P62912,60S ribosomal protein L32,Rpl32
43670,36628,42952,43738,48528,41685,43886,42940,44977,3,20.5,13.507,0,6.7799,2871600000,5,P11250,60S ribosomal protein L34,Rpl34
96442,87195,88609,105450,118450,90820,104410,107360,105010,3,26,14.552,0,28.628,3623300000,10,P17078,60S ribosomal protein L35,Rpl35
138410,110720,142620,131160,154410,150130,143000,133660,150200,9,56.4,12.554,0,10.795,9526100000,24,P04646,60S ribosomal protein L35a,Rpl35a
84433,74364,84758,88533,99638,84430,84673,89635,96592,5,34.3,12.268,0,9.2326,3686300000,13,P39032,60S ribosomal protein L36,Rpl36
126020,112960,117580,120740,149990,117870,124440,126430,135580,5,26.4,12.441,0,8.8684,4852900000,14,P83883,60S ribosomal protein L36a,Rpl36a
85897,73618,88541,85713,95331,91356,90245,89693,88593,3,25.8,11.078,0,8.2191,6404800000,10,P61928,60S ribosomal protein L37,Rpl37
58310,52126,59102,58177,66543,59341,62047,59174,65940,3,40.3,8.0627,0,11.114,2426900000,7,D4AAZ6;P61515,60S ribosomal protein L37a;Putative 60S ribosomal protein L37a,Rpl37a;Rpl37a-ps1
61133,67014,64019,71295,78121,59597,68575,75100,77086,3,38.6,8.2178,0,7.6502,2221600000,10,P63174,60S ribosomal protein L38,Rpl38
14400,13628,14574,15767,18455,16252,14255,15116,16994,1,19.6,6.4066,0,7.5809,405990000,2,P62893,60S ribosomal protein L39,Rpl39
558920,491780,557430,557840,638930,554560,570490,563620,591670,20,47.5,47.256,0,126.09,28963000000,73,P50878,60S ribosomal protein L4,Rpl4
202660,184520,198910,208210,237240,214720,210890,215030,220680,10,38,34.458,0,50.943,15777000000,33,P09895,60S ribosomal protein L5,Rpl5
412540,321980,407380,392040,433120,418610,421900,388680,391250,14,43,33.561,0,54.619,22690000000,51,P21533,60S ribosomal protein L6,Rpl6
289630,268850,292580,314100,352340,272920,314760,313750,329050,10,39.2,30.329,0,55.156,25536000000,40,P05426,60S ribosomal protein L7,Rpl7
275200,241060,273660,278090,319570,265890,284770,279840,294830,10,35.3,29.995,0,42.697,13593000000,36,P62425,60S ribosomal protein L7a,Rpl7a
346130,267660,324780,317330,363480,366000,329130,330540,352620,11,38.1,28.024,0,42.301,15551000000,29,P62919,60S ribosomal protein L8,Rpl8
249220,270450,260760,301180,333150,242110,295950,309240,314720,7,42.2,21.893,0,42.576,5991900000,17,P17077,60S ribosomal protein L9,Rpl9
476940,301910,327980,324770,361260,527580,295170,318670,348380,15,42.9,53.236,0,180.97,11788000000,47,P85968,"6-phosphogluconate dehydrogenase, decarboxylating",Pgd
186770,150480,178080,162590,193630,204650,169260,170670,184110,10,67.7,27.234,0,50.632,7290200000,31,P85971,6-phosphogluconolactonase,Pgls
1173400,1043000,1046500,1144600,1202500,1020900,1007200,969160,1054100,33,53.5,72.346,0,188.09,50339000000,114,P06761,78 kDa glucose-regulated protein,Hspa5
21636,23459,25266,30239,29615,24174,26491,27662,28575,2,5.1,54.154,0,12.557,261480000,3,Q9Z2Z8,7-dehydrocholesterol reductase,Dhcr7
15975,16425,16894,15643,19502,14353,17696,16643,19478,2,3.8,51.704,0,3.4339,190720000,2,Q9QZM5,Abl interactor 1,Abi1
