"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"A0A068FP44;Q4AE70-3;Q4AE70-4;Q4AE70-2;Q4AE70",-0.254274831847994,4.60028532784845,0.0407739952090367,0.8399747968709,0.999991107051563,"A0A068FP44","Histone-arginine methyltransferase CARM1","CARM1;Carm1","tr|A0A068FP44|A0A068FP44_RAT Coactivator-associated arginine methyltransferase 1 variant 5 OS=Rattus norvegicus OX=10116 GN=CARM1 PE=2 SV=1;sp|Q4AE70-3|CARM1_RAT Isoform 3 of Histone-arginine methyltransferase CARM1 OS=Rattus norvegicus OX=10116 GN=Carm1;s",66.583,615,"615;573;585;608;651",12.177,29015000,71515000,12611000,13411000,20677000,36325000,22377000,13369000,26510000,12986000,1381700,3405500,600530,638630,984620,1729800,1065600,636630,1262400,618400,33002000,50394000,28331000,19901000,34022000,46127000,30917000,0,28876000,31392000,3,7,2,2,3,6,5,3,4,4
"A0A096MIV5;A2VD14;F1M8H5",0.0858320794693232,4.53148047828548,0.00465127918286426,0.945626198302196,0.999991107051563,"A0A096MIV5",NA,"Abcf2","tr|A0A096MIV5|A0A096MIV5_RAT ATP-binding cassette subfamily F member 2 OS=Rattus norvegicus OX=10116 GN=Abcf2 PE=1 SV=1;tr|A2VD14|A2VD14_RAT ATP-binding cassette subfamily F member 2 OS=Rattus norvegicus OX=10116 GN=Abcf2 PE=1 SV=1;tr|F1M8H5|F1M8H5_RAT ATP",71.655,627,"627;624;434;251",10.687,12880000,46712000,30452000,24455000,15737000,21024000,30986000,14756000,5215300,11428000,390310,1415500,922780,741060,476890,637100,938980,447150,158040,346310,25092000,27968000,28965000,27857000,31050000,29258000,40151000,28907000,21147000,28103000,2,7,5,3,3,4,6,4,3,4
"A0A096MJ04;Q6AXR6;B6DYQ5;Q9Z339",0.224487176974258,4.85211660849956,0.0317894206768163,0.858490614585643,0.999991107051563,"A0A096MJ04","Glutathione S-transferase omega-1","Gsto1","tr|A0A096MJ04|A0A096MJ04_RAT Glutathione S-transferase omega 1, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Gsto1 PE=1 SV=1;tr|Q6AXR6|Q6AXR6_RAT Glutathione S-transferase omega 1, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Gsto1 PE=1 SV=1;tr|B6DYQ5|",24.944,213,"213;241;241;241;248",12.599,57483000,52151000,29080000,38112000,28610000,35800000,33081000,23341000,29321000,21315000,4790200,4345900,2423400,3176000,2384200,2983300,2756800,1945100,2443400,1776300,35431000,35364000,29646000,35413000,31469000,39531000,41682000,33284000,38635000,39879000,6,5,4,6,6,6,4,4,5,4
"A0A096MJA9;A0A096MKE0;A0A0G2K2B5;A0A096MIY8;A0A096MK70",-0.172044352833068,4.45824574609244,0.0186793111283006,0.891289844112993,0.999991107051563,"A0A096MJA9",NA,"Asph","tr|A0A096MJA9|A0A096MJA9_RAT Aspartate-beta-hydroxylase OS=Rattus norvegicus OX=10116 GN=Asph PE=1 SV=1;tr|A0A096MKE0|A0A096MKE0_RAT Aspartate-beta-hydroxylase OS=Rattus norvegicus OX=10116 GN=Asph PE=1 SV=1;tr|A0A0G2K2B5|A0A0G2K2B5_RAT Aspartate-beta-hydr",74.889,657,"657;737;789;259;291;140;199;207;207",28.077,28136000,38224000,19941000,22786000,19382000,17581000,19577000,21525000,22448000,10971000,937850,1274100,664700,759540,646050,586040,652570,717490,748280,365700,36436000,28427000,22589000,32739000,26071000,28294000,24067000,29273000,23104000,23410000,3,4,3,3,4,3,4,4,5,4
"A0A096MJJ6;B1H213;A0FKI7-2;A0FKI7;A0FKI7-3;M0R9S4;A0A0G2K3Z5",-0.357841923748154,3.08263071763301,0.0806511928703983,0.776416866543761,0.999991107051563,"A0A096MJJ6","Acyl-CoA-binding domain-containing protein 5","Acbd5;LOC100910957","tr|A0A096MJJ6|A0A096MJJ6_RAT Acyl-CoA-binding domain-containing protein 5 OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=1 SV=1;tr|B1H213|B1H213_RAT Acbd5 protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=2 SV=1;sp|A0FKI7-2|ACBD5_RAT Isoform 2 of Acy",52.389,470,"470;502;471;506;507;507;508;326",13.126,15096000,16412000,12077000,9147100,10576000,2067400,10792000,9033900,6780400,5090800,686160,746010,548960,415780,480740,93973,490560,410630,308200,231400,14961000,15925000,6962700,10681000,11217000,0,15655000,9212900,12526000,8730800,2,3,5,5,5,0,0,3,3,2
"A0A096MJM1;Q32PX6;A0A096MK75",0.546754272214082,5.94385742441351,0.187646082485184,0.664883026317501,0.999991107051563,"A0A096MJM1",NA,"Rhog","tr|A0A096MJM1|A0A096MJM1_RAT Ras homolog family member G (Fragment) OS=Rattus norvegicus OX=10116 GN=Rhog PE=1 SV=6;tr|Q32PX6|Q32PX6_RAT Ras homolog family member G OS=Rattus norvegicus OX=10116 GN=Rhog PE=1 SV=1;tr|A0A096MK75|A0A096MK75_RAT Ras homolog fa",20.622,185,"185;191;178",176.31,111400000,86717000,70682000,30963000,54382000,79899000,108460000,68700000,77328000,32096000,10128000,7883400,6425700,2814800,4943800,7263500,9860100,6245400,7029800,2917800,65121000,58695000,72141000,52276000,65840000,103910000,104910000,78486000,83910000,82055000,11,10,7,4,5,12,15,10,8,7
"A0A096MJM8;F7FJR8",-0.796049630571273,3.12690695071839,0.39517085618391,0.529593826065074,0.999991107051563,"A0A096MJM8",NA,"Las1l","tr|A0A096MJM8|A0A096MJM8_RAT LAS1-like, ribosome biogenesis factor (Fragment) OS=Rattus norvegicus OX=10116 GN=Las1l PE=1 SV=1;tr|F7FJR8|F7FJR8_RAT LAS1-like, ribosome biogenesis factor OS=Rattus norvegicus OX=10116 GN=Las1l PE=1 SV=1",75.472,656,"656;762;438",9.1606,9497300,10181000,13106000,17549000,11804000,3912800,6519000,3145900,12266000,3329200,339190,363620,468090,626760,421570,139740,232820,112350,438070,118900,13440000,13150000,13474000,15326000,14249000,0,15458000,0,12717000,11506000,2,2,3,3,3,0,2,0,4,2
"A0A096MJY1",-0.169022506061653,5.5134837903261,0.0180292656478085,0.89318662290861,0.999991107051563,"A0A096MJY1",NA,"Gpc6","tr|A0A096MJY1|A0A096MJY1_RAT Glypican 6 OS=Rattus norvegicus OX=10116 GN=Gpc6 PE=1 SV=1",62.957,555,"555",18.347,87523000,110360000,62703000,58392000,51562000,42243000,59850000,24232000,30971000,20646000,3241600,4087600,2322300,2162700,1909700,1564600,2216700,897470,1147100,764660,68275000,63327000,53326000,62641000,56087000,57923000,61625000,46157000,51979000,49080000,7,14,8,6,8,8,9,6,6,4
"A0A096MJY6",-0.139695033102898,4.13250556050705,0.012317697352578,0.91162814459429,0.999991107051563,"A0A096MJY6",NA,"Gbe1","tr|A0A096MJY6|A0A096MJY6_RAT Glucan (1,4-alpha-), branching enzyme 1 (Fragment) OS=Rattus norvegicus OX=10116 GN=Gbe1 PE=1 SV=1",47.164,412,"412",6.3877,21553000,24175000,23324000,18665000,16184000,10724000,12265000,9260600,13205000,11383000,979660,1098800,1060200,848410,735640,487450,557500,420940,600210,517390,22575000,21971000,25895000,21839000,23191000,16582000,19894000,15402000,21849000,29683000,3,2,2,3,2,2,2,2,2,2
"A0A096MJZ2",-1.66582578379278,3.81261147972997,1.66277531659867,0.19722902243649,0.999991107051563,"A0A096MJZ2",NA,"Tbl2","tr|A0A096MJZ2|A0A096MJZ2_RAT RCG21429, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Tbl2 PE=1 SV=1",49.613,442,"442;153",18.646,55728000,60733000,32838000,16183000,20656000,5832700,2751900,2295700,11221000,0,2229100,2429300,1313500,647320,826250,233310,110070,91827,448840,0,23055000,30236000,26013000,29506000,25457000,14991000,0,0,27238000,0,10,8,7,3,4,2,0,0,2,0
"A0A096MK73;P13668",-1.41794115760019,4.37827088739191,1.22153093079783,0.269060415366957,0.999991107051563,"A0A096MK73","Stathmin","Stmn1","tr|A0A096MK73|A0A096MK73_RAT Stathmin (Fragment) OS=Rattus norvegicus OX=10116 GN=Stmn1 PE=1 SV=1;sp|P13668|STMN1_RAT Stathmin OS=Rattus norvegicus OX=10116 GN=Stmn1 PE=1 SV=2",14.637,126,"126;149",41.623,61157000,70780000,71052000,6783700,36106000,6366500,36357000,0,19016000,0,7644600,8847500,8881500,847960,4513300,795810,4544600,0,2377000,0,45879000,42137000,63603000,0,38074000,0,44851000,0,25933000,0,4,5,6,3,3,2,2,0,2,0
"A0A096MKE2;D4A719;A0A096MKG7",-1.40854465530633,4.02964092682613,1.20598473783159,0.27212879473174,0.999991107051563,"A0A096MKE2",NA,"Snx12","tr|A0A096MKE2|A0A096MKE2_RAT Sorting nexin 12 OS=Rattus norvegicus OX=10116 GN=Snx12 PE=1 SV=1;tr|D4A719|D4A719_RAT Sorting nexin 12 OS=Rattus norvegicus OX=10116 GN=Snx12 PE=1 SV=1;tr|A0A096MKG7|A0A096MKG7_RAT Sorting nexin 12 (Fragment) OS=Rattus norvegi",18.884,162,"162;170;102",9.3792,39478000,38478000,40168000,31440000,36683000,25735000,11583000,0,0,7505600,3947800,3847800,4016800,3144000,3668300,2573500,1158300,0,0,750560,29327000,29920000,28668000,28931000,32151000,37203000,18263000,0,0,0,3,4,7,4,5,2,2,0,0,0
"A0A096MKE9;Q5U2M4",-0.628696305142893,4.49286523440937,0.247635252444731,0.618745112837194,0.999991107051563,"A0A096MKE9","DNA ligase","Lig3","tr|A0A096MKE9|A0A096MKE9_RAT DNA ligase OS=Rattus norvegicus OX=10116 GN=Lig3 PE=1 SV=1;tr|Q5U2M4|Q5U2M4_RAT DNA ligase OS=Rattus norvegicus OX=10116 GN=Lig3 PE=1 SV=1",112.02,1002,"1002;943",14.189,14781000,34175000,34230000,43934000,40516000,11040000,3360700,9132900,23561000,6991400,263950,610270,611250,784530,723500,197140,60013,163090,420730,124850,22546000,29402000,34342000,40232000,45301000,23394000,0,24466000,34123000,27744000,2,6,5,9,8,3,0,2,7,4
"A0A096MKG2;A0A0G2QC27;B0BNB6",-0.586598976058535,4.35401912356572,0.215799770468443,0.642259089659583,0.999991107051563,"A0A096MKG2",NA,"Nol6","tr|A0A096MKG2|A0A096MKG2_RAT Nucleolar protein 6 OS=Rattus norvegicus OX=10116 GN=Nol6 PE=1 SV=1;tr|A0A0G2QC27|A0A0G2QC27_RAT Nucleolar protein 6 OS=Rattus norvegicus OX=10116 GN=Nol6 PE=1 SV=1;tr|B0BNB6|B0BNB6_RAT Nucleolar protein 6 OS=Rattus norvegicus",127.8,1143,"1143;1146;299;412",16.291,18207000,50421000,33575000,41471000,20428000,7593700,0,10131000,19080000,6314800,364130,1008400,671500,829430,408560,151870,0,202620,381610,126300,28681000,35494000,27302000,38808000,24036000,21050000,0,29223000,31211000,19985000,4,7,6,7,6,2,2,4,6,3
"A0A096MKG5;Q1HCL7",-0.698363311645354,6.19630077819334,0.305003412423046,0.580762600193102,0.999991107051563,"A0A096MKG5","NAD kinase 2, mitochondrial","Nadk2","tr|A0A096MKG5|A0A096MKG5_RAT NAD kinase 2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Nadk2 PE=1 SV=1;sp|Q1HCL7|NAKD2_RAT NAD kinase 2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Nadk2 PE=1 SV=1",50.654,450,"450;425",58.71,197900000,219040000,98389000,102380000,105020000,41793000,66786000,27125000,32705000,52762000,7915900,8761600,3935500,4095400,4200900,1671700,2671400,1085000,1308200,2110500,111910000,142590000,84762000,112750000,117910000,58495000,78733000,45704000,52335000,110730000,17,18,10,10,11,6,9,4,5,8
"A0A096MKH2;Q4KM55",0.0195464069817778,5.24475228719401,0.000241250230913009,0.987607570173534,0.999991107051563,"A0A096MKH2",NA,"Vta1","tr|A0A096MKH2|A0A096MKH2_RAT Similar to RIKEN cDNA 1110059P08 OS=Rattus norvegicus OX=10116 GN=Vta1 PE=1 SV=1;tr|Q4KM55|Q4KM55_RAT Vesicle-trafficking 1 OS=Rattus norvegicus OX=10116 GN=Vta1 PE=1 SV=1",33.975,309,"309;251",45.33,53997000,74907000,61165000,39512000,62085000,49821000,41283000,17934000,25351000,25185000,4499700,6242200,5097100,3292700,5173700,4151800,3440200,1494500,2112600,2098700,47087000,44839000,47121000,43986000,53420000,41544000,48335000,44355000,54311000,48276000,7,6,6,4,6,6,6,5,4,4
"A0A097BVJ5;P13233",-0.539803675566052,9.89254448299313,0.182932818244433,0.668864844104295,0.999991107051563,"A0A097BVJ5","2,3-cyclic-nucleotide 3-phosphodiesterase","Cnp","tr|A0A097BVJ5|A0A097BVJ5_RAT 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=2 SV=1;sp|P13233|CN37_RAT 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2",44.856,400,"400;420",323.31,2109500000,2.067e+09,1511700000,1505800000,1.229e+09,696250000,628510000,592350000,5.5e+08,408270000,84379000,82679000,60469000,60231000,49158000,27850000,25141000,23694000,2.2e+07,16331000,1438300000,1.414e+09,1383800000,1.437e+09,1400400000,878730000,936970000,1.039e+09,950490000,997360000,78,73,67,61,62,50,39,50,35,40
"A0A0A0MXW3;D4AEC0;P0C0S7",-0.337412563158667,9.56511678867576,0.0717252980164533,0.788841114990601,0.999991107051563,"A0A0A0MXW3","Histone H2A;Histone H2A.Z","H2afz;H2afv","tr|A0A0A0MXW3|A0A0A0MXW3_RAT Histone H2A OS=Rattus norvegicus OX=10116 GN=H2afz PE=3 SV=1;tr|D4AEC0|D4AEC0_RAT Histone H2A OS=Rattus norvegicus OX=10116 GN=H2afv PE=3 SV=1;sp|P0C0S7|H2AZ_RAT Histone H2A.Z OS=Rattus norvegicus OX=10116 GN=H2az1 PE=1 SV=2",13.421,127,"127;128;128;123",44.338,1659800000,1306500000,1305800000,811030000,1041300000,865890000,557750000,603070000,708970000,590710000,331970000,261290000,261160000,162210000,208260000,173180000,111550000,120610000,141790000,118140000,979200000,889930000,1465400000,863170000,1111800000,1005100000,675260000,711950000,852790000,904760000,21,14,13,13,14,10,10,12,13,9
"A0A0A0MXX5;D4A1J4",-1.08973155257088,3.57833422057116,0.732678535167238,0.392016346439582,0.999991107051563,"A0A0A0MXX5","3-hydroxybutyrate dehydrogenase type 2","Bdh2","tr|A0A0A0MXX5|A0A0A0MXX5_RAT 3-hydroxybutyrate dehydrogenase type 2 OS=Rattus norvegicus OX=10116 GN=Bdh2 PE=1 SV=1;sp|D4A1J4|BDH2_RAT 3-hydroxybutyrate dehydrogenase type 2 OS=Rattus norvegicus OX=10116 GN=Bdh2 PE=3 SV=2",27.678,255,"255;245",7.9622,39291000,33081000,24712000,23068000,16237000,11304000,11969000,0,9150100,1874700,2806500,2362900,1765200,1647700,1159800,807450,854950,0,653580,133900,21475000,19064000,19782000,19845000,21887000,16845000,18172000,0,12596000,0,5,4,4,5,5,2,2,0,2,0
"A0A0A0MY00;P70584",-0.570127429145885,3.96623085853454,0.203927414664534,0.651569252581257,0.999991107051563,"A0A0A0MY00","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial","Acadsb","tr|A0A0A0MY00|A0A0A0MY00_RAT Short/branched chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acadsb PE=1 SV=2;sp|P70584|ACDSB_RAT Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus",52.042,469,"469;432",19.878,42802000,40826000,21419000,46754000,25724000,9460300,2142200,5597100,7827200,5520900,1783400,1701100,892440,1948100,1071800,394180,89259,233210,326130,230040,21407000,24346000,17290000,35555000,18858000,18811000,0,17592000,19874000,21674000,9,6,4,3,5,4,2,2,3,2
"A0A0A0MY09;Q66HD0;A0A0G2K4I4;Q66HD0-2",0.726076050852124,11.8310202716737,0.329435495062712,0.565991678236438,0.999991107051563,"A0A0A0MY09","Endoplasmin","Hsp90b1","tr|A0A0A0MY09|A0A0A0MY09_RAT Endoplasmin OS=Rattus norvegicus OX=10116 GN=Hsp90b1 PE=1 SV=1;sp|Q66HD0|ENPL_RAT Endoplasmin OS=Rattus norvegicus OX=10116 GN=Hsp90b1 PE=1 SV=2;tr|A0A0G2K4I4|A0A0G2K4I4_RAT Endoplasmin OS=Rattus norvegicus OX=10116 GN=Hsp90b1",92.899,804,"804;804;643;643",323.31,2538800000,3931600000,3535900000,3855300000,2.655e+09,3754700000,3378800000,3114800000,3636100000,2521500000,65097000,100810000,90664000,98855000,68076000,96274000,86635000,79866000,93234000,64654000,2819100000,3.632e+09,3528200000,3769500000,3501200000,4.927e+09,5431600000,5908100000,6133400000,5762600000,77,95,108,123,114,146,128,132,183,135
"A0A0F7RQJ6;P80254",-0.163961836721414,8.76460239775097,0.0169663783861056,0.896364640895958,0.999991107051563,"A0A0F7RQJ6","D-dopachrome decarboxylase","Ddt","tr|A0A0F7RQJ6|A0A0F7RQJ6_RAT D-dopachrome tautomerase OS=Rattus norvegicus OX=10116 GN=Ddt PE=1 SV=1;sp|P80254|DOPD_RAT D-dopachrome decarboxylase OS=Rattus norvegicus OX=10116 GN=Ddt PE=1 SV=3",13.133,118,"118;118;57",323.31,1091800000,998490000,776510000,578890000,486130000,658230000,321540000,396920000,354500000,330020000,121310000,110940000,86279000,64321000,54014000,73137000,35726000,44102000,39388000,36669000,626340000,612170000,671670000,514460000,461550000,625160000,391520000,522550000,503620000,500520000,38,31,41,24,30,29,28,26,27,29
"A0A0F7RQL3;P30904;D3ZE63",-0.165763330481487,7.54491683612534,0.0173410491246745,0.895233120384628,0.999991107051563,"A0A0F7RQL3","Macrophage migration inhibitory factor","Mif;LOC679748","tr|A0A0F7RQL3|A0A0F7RQL3_RAT Macrophage migration inhibitory factor OS=Rattus norvegicus OX=10116 GN=Mif PE=4 SV=1;sp|P30904|MIF_RAT Macrophage migration inhibitory factor OS=Rattus norvegicus OX=10116 GN=Mif PE=1 SV=4;tr|D3ZE63|D3ZE63_RAT Uncharacterized",12.477,115,"115;115;115;115;112",87.196,449480000,257120000,545870000,194380000,348680000,199610000,95103000,110890000,146080000,208140000,74913000,42853000,90979000,32397000,58114000,33268000,15851000,18481000,24347000,34689000,269300000,250860000,275720000,226120000,217910000,270880000,207680000,195240000,202060000,215480000,33,9,32,10,35,20,5,6,10,11
